originalTimestamp,category,messageId,anonymousId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,search_text,traits,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
2025-08-18 01:01:38.186000+00:00,about_us,ajs-next-1755478898186-97e811b0-d4b9-4d58-be79-8f857c28f49a,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/about_us/1755478802206x719069747838377000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755478802206x719069747838377000,/about_us/1755478802206x719069747838377000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755478802206x719069747838377000,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:00:15.338000+00:00,start,ajs-next-1755478815338-5b791d04-1b41-4294-aaae-0a7df284f694,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,start,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:28:39.890000+00:00,index,ajs-next-1755480519890-a38474d4-f180-4a78-ab29-037bd75e2db4,8474d4f1-800a-48eb-a903-7bd75e2db43a,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:00:13.610000+00:00,,ajs-next-1755478813610-e1cd4cd3-efc6-4212-af19-05bdc7427c8c,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,list_your_business,main_page,,,,,,,,,,,,,,,,,,,,,button_click
2025-08-18 01:00:35.762000+00:00,,ajs-next-1755478835762-a515be03-7368-4cd2-b08f-3ab7460b4e61,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 01:00:03.711000+00:00,,ajs-next-1755478803711-2fc5e1cd-4cd3-4fc6-8212-ef1905bdc742,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 01:00:35.202000+00:00,index,ajs-next-1755478835202-53eca515-be03-4368-8cd2-708f3ab7460b,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,index,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:28:40.436000+00:00,,ajs-next-1755480520436-d4f1800a-78eb-4903-bbd7-5e2db43ae3d6,8474d4f1-800a-48eb-a903-7bd75e2db43a,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 01:57:03.896000+00:00,profile,ajs-next-1755482223896-b78c30fb-5869-453c-9a9b-52c82326fcc6,8c30fb58-6995-4c1a-9b52-c82326fcc6e5,business_profile,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/business_profile/wild-goose-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-1750436264420x989591292213482400,/business_profile/wild-goose-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:29:30.403000+00:00,start,ajs-next-1755480570403-1ab16910-170e-4114-afca-6a6be89b79a9,8474d4f1-800a-48eb-a903-7bd75e2db43a,start,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:28:48.049000+00:00,,ajs-next-1755480528049-800a78eb-2903-4bd7-9e2d-b43ae3d67d01,8474d4f1-800a-48eb-a903-7bd75e2db43a,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,list_your_business,main_page,,,,,,,,,,,,,,,,,,,,,button_click
2025-08-18 01:28:49.210000+00:00,start,ajs-next-1755480529211-da7a257d-7b63-4901-84a2-24daa45ac693,8474d4f1-800a-48eb-a903-7bd75e2db43a,start,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 02:35:08.973000+00:00,index,ajs-next-1755484508973-9b435e66-a5c2-4951-9b5e-8c68f273843e,435e66a5-c289-419b-9e8c-68f273843e29,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
