anonymousId,name,category,messageId,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,button_name,location,city,search_text,parish,event_type
452f5cb2-e967-45e0-a365-026238f3e7ea,business_profile,profile,ajs-next-1758871875602-88452f5c-b2e9-4795-a0a3-65026238f3e7,,2025-09-26 07:31:15.602000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",/business_profile/metalarc-llc-1755533063776x956164571796881400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/metalarc-llc-1755533063776x956164571796881400,"[{'brand': 'Chromium', 'version': '136'}, {'brand': 'Google Chrome', 'version': '136'}, {'brand': 'Not.A/Brand', 'version': '99'}]",False,Linux,/business_profile/metalarc-llc-1755533063776x956164571796881400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/metalarc-llc-1755533063776x956164571796881400,1755533063776x956164571796881400,profile,business_profile,,,,,,,page
79095ea9-2a39-4065-bee2-e723f9123f65,business_profile,profile,ajs-next-1758871880427-4279095e-a92a-4980-a5be-e2e723f9123f,,2025-09-26 07:31:20.427000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/business_profile/metalarc-llc-1755533063776x956164571796881400,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/metalarc-llc-1755533063776x956164571796881400,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,/business_profile/metalarc-llc-1755533063776x956164571796881400,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/metalarc-llc-1755533063776x956164571796881400,1755533063776x956164571796881400,profile,business_profile,,,,,,,page
8b7bf56f-53f8-4194-8808-261a4b46895d,index,index,ajs-next-1758906388090-f2c21971-1fd1-4649-9af5-8c2c4e76f200,,2025-09-26 17:06:28.090000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,page
3dd2bead-2f16-494c-92cb-6bdb7173e615,,,ajs-next-1758908288270-f32ef2a2-be38-4741-b281-2a920781e472,,2025-09-26 17:38:08.270000+00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,true,,,,,,impression
3dd2bead-2f16-494c-92cb-6bdb7173e615,business_profile,profile,ajs-next-1758908378608-6a549949-6498-4dce-b62b-edd2206befb9,,2025-09-26 17:39:38.608000+00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,/business_profile/mckay-law-llc-1744175271939x575064790204550460,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mckay-law-llc-1744175271939x575064790204550460,,,,/business_profile/mckay-law-llc-1744175271939x575064790204550460,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mckay-law-llc-1744175271939x575064790204550460,1744175271939x575064790204550460,profile,business_profile,,,,,,,page
8b7bf56f-53f8-4194-8808-261a4b46895d,business_profile,profile,ajs-next-1758906383533-7dbadbff-e085-4d65-9101-15d0976b6e4b,,2025-09-26 17:06:23.533000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/slider-artworks-1744335958024x226211831616957250,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,,,,/business_profile/slider-artworks-1744335958024x226211831616957250,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,1744335958024x226211831616957250,profile,business_profile,,,,,,,page
3dd2bead-2f16-494c-92cb-6bdb7173e615,,,ajs-next-1758908214334-894c52cb-6bdb-4173-a615-10644e93df37,,2025-09-26 17:36:54.334000+00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,list_your_business,main_page,,,,button_click
3dd2bead-2f16-494c-92cb-6bdb7173e615,business_profile,profile,ajs-next-1758908422918-179cea40-cef2-4ccc-8d07-7313905c9f6e,,2025-09-26 17:40:22.918000+00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,,,,/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,1744260813114x505427712482621440,profile,business_profile,,,,,,,page
8b7bf56f-53f8-4194-8808-261a4b46895d,,,ajs-next-1758906360359-f56f53f8-c194-4808-a61a-4b46895d9e21,,2025-09-26 17:06:00.359000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,true,,,,,,impression
3dd2bead-2f16-494c-92cb-6bdb7173e615,,,ajs-next-1758908401793-7cb3f1b3-a06a-4c9a-880b-0a354c1b8168,,2025-09-26 17:40:01.793000+00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,,search,,,,,button_click
