anonymousId,category,messageId,userId,originalTimestamp,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,sponsored_listing,location,button_name,event_type
905aea89-f63d-43b1-82bb-003e9da20684,dashboard,ajs-next-1757546812952-20d3f94c-eb70-46a4-9382-b9d84bf8000f,,2025-09-10 23:26:52.952000+00:00,dashboard,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/dashboard,,?view=billing,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=billing,/dashboard,,?view=billing,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=billing,1757546811102x701527011192729900,dashboard,dashboard,,,,,,,page
d6d5cff6-c745-4f69-a550-47497f3365ee,index,ajs-next-1757549929903-0bd6d5cf-f6c7-45bf-a9a5-5047497f3365,,2025-09-11 00:18:49.903000+00:00,index,"Mozilla/5.0 (Linux; Android 9; KFTRWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/138.4.37 like Chrome/138.0.7204.224 Safari/537.36",/,https://www.bing.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,https://www.bing.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}]",False,Android,,,,page
d6d5cff6-c745-4f69-a550-47497f3365ee,,ajs-next-1757549930111-cff6c745-bf69-4550-8749-7f3365ee1e8f,,2025-09-11 00:18:50.111000+00:00,,"Mozilla/5.0 (Linux; Android 9; KFTRWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/138.4.37 like Chrome/138.0.7204.224 Safari/537.36",/,https://www.bing.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}]",False,Android,true,,,impression
d6d5cff6-c745-4f69-a550-47497f3365ee,,ajs-next-1757549930222-c745bf69-a550-4749-bf33-65ee1e8f6766,,2025-09-11 00:18:50.222000+00:00,,"Mozilla/5.0 (Linux; Android 9; KFTRWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/138.4.37 like Chrome/138.0.7204.224 Safari/537.36",/,https://www.bing.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}]",False,Android,true,,,impression
38f4de35-e0af-4c32-98df-4f52c2f89d38,profile,ajs-next-1757601337339-3f38f4de-35e0-4f5c-b2d8-df4f52c2f89d,,2025-09-11 14:35:37.339000+00:00,business_profile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/business_profile/serve-business-consulting-llc,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/serve-business-consulting-llc,/business_profile/serve-business-consulting-llc,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/serve-business-consulting-llc,1744397288473x909294892772270800,profile,business_profile,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,page
e99900e1-2deb-474c-9e33-04a51aaf2f6a,index,ajs-next-1757608398725-65ab27a2-2bb6-4389-9b8a-1f971a42a9d6,,2025-09-11 16:33:18.725000+00:00,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,page
e99900e1-2deb-474c-9e33-04a51aaf2f6a,,ajs-next-1757608399266-27a22bb6-7389-4b8a-9f97-1a42a9d6f01d,,2025-09-11 16:33:19.266000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",,,,,,true,,,impression
fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,search,ajs-next-1757612290104-18854f69-9d57-4865-b9d6-ac168fb9a0c9,1746827109704x963221719337950200,2025-09-11 17:38:10.104000+00:00,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,search,search,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,,page
fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,,ajs-next-1757612293107-a0c97e0f-4680-45db-8b98-566096e36ba5,1746827109704x963221719337950200,2025-09-11 17:38:13.107000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,"1757369121056x350487849823425600, 1746827109704x963221719337950200, 1750785338983x949958887494882000, 1750784029587x963255839088365200, 1753982403438x535213824960417500, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1746635677548x343522492232585660",,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,false,,,impression
fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,,ajs-next-1757612291104-4f699d57-7865-49d6-ac16-8fb9a0c97e0f,1746827109704x963221719337950200,2025-09-11 17:38:11.104000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,true,sidebar,,impression
