name,originalTimestamp,category,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,city,search_text,parish,event_type
how_it_works,2025-12-27 15:49:09.706000+00:00,how_it_works,,e47db6a2-f282-4e28-b09e-a135a9ca2056,ajs-next-1766850549706-e7e47db6-a2f2-42de-a830-9ea135a9ca20,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1765234470396x814263846453756800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765234470396x814263846453756800,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1765234470396x814263846453756800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765234470396x814263846453756800,how_it_works,how_it_works,,,,,,,,page
business_profile,2025-12-28 01:42:06.313000+00:00,profile,,f120b3c9-d49e-4bee-8610-66d104106671,ajs-next-1766886126313-87f120b3-c9d4-4e9b-aec6-1066d1041066,"Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,"[{'brand': 'Chromium', 'version': '137'}, {'brand': 'Google Chrome', 'version': '137'}]",True,Android,/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,profile,business_profile,1748365021326x105262688542451250,,,,,,,page
how_it_works,2025-12-28 06:49:39.902000+00:00,how_it_works,,e0674589-994f-4aa3-993a-53088fd35420,ajs-next-1766904579902-68e06745-8999-4f8a-a3d9-3a53088fd354,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1765557321290x708095972120797000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765557321290x708095972120797000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1765557321290x708095972120797000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765557321290x708095972120797000,how_it_works,how_it_works,,,,,,,,page
about_us,2025-12-28 06:53:07.116000+00:00,about_us,,f88b5932-cd9f-4b29-bc61-4a9b3d081827,ajs-next-1766904787116-6ff88b59-32cd-4fcb-a9bc-614a9b3d0818,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1766265210362x503397910288863500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766265210362x503397910288863500,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1766265210362x503397910288863500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766265210362x503397910288863500,about_us,about_us,,,,,,,,page
about_us,2025-12-28 10:26:11.808000+00:00,about_us,,22ef02db-1255-46a5-818b-6ffcaac9f5c3,ajs-next-1766917571808-8322ef02-db12-4546-a581-8b6ffcaac9f5,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1764878907426x613866899280307300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1764878907426x613866899280307300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1764878907426x613866899280307300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1764878907426x613866899280307300,about_us,about_us,,,,,,,,page
how_it_works,2025-12-28 13:46:44.309000+00:00,how_it_works,,75c1d28a-4c63-4601-b569-8ca680546d37,ajs-next-1766929604309-2175c1d2-8a4c-43d6-81b5-698ca680546d,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1766472724409x492935651004285060,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1766472724409x492935651004285060,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1766472724409x492935651004285060,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1766472724409x492935651004285060,how_it_works,how_it_works,,,,,,,,page
about_us,2025-12-28 14:40:13.685000+00:00,about_us,,4fb7647c-ae3f-447e-b011-0224356f11b6,ajs-next-1766932813685-bb4fb764-7cae-4f44-be30-110224356f11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",/about_us/1766760784938x150816883337376640,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766760784938x150816883337376640,,,,/about_us/1766760784938x150816883337376640,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766760784938x150816883337376640,about_us,about_us,,,,,,,,page
about_us,2025-12-28 14:54:38.462000+00:00,about_us,,3df59bd7-0adb-4b6d-9326-924d5fd69b5f,ajs-next-1766933678462-d63df59b-d70a-4b3b-add3-26924d5fd69b,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763158999307x514903361293074240,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763158999307x514903361293074240,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1763158999307x514903361293074240,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763158999307x514903361293074240,about_us,about_us,,,,,,,,page
how_it_works,2025-12-28 16:33:51.816000+00:00,how_it_works,,71e605c5-46ba-4bf5-a3ae-72d79a3a3081,ajs-next-1766939631816-f771e605-c546-4a3b-b523-ae72d79a3a30,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763159248613x920222804114435300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763159248613x920222804114435300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1763159248613x920222804114435300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763159248613x920222804114435300,how_it_works,how_it_works,,,,,,,,page
how_it_works,2025-12-28 22:58:52.379000+00:00,how_it_works,,c1b10379-618e-4c66-b319-77b9a8e3ed54,ajs-next-1766962732379-13c1b103-7961-4ebc-a6b3-1977b9a8e3ed,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1765433579156x421357312709913500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765433579156x421357312709913500,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1765433579156x421357312709913500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765433579156x421357312709913500,how_it_works,how_it_works,,,,,,,,page
about_us,2025-12-29 03:58:09.739000+00:00,about_us,,07b0fd13-5851-48c9-9c89-f7b1a9b6d49a,ajs-next-1766980689739-9007b0fd-1358-41f8-899c-89f7b1a9b6d4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",/about_us/1766658864488x863625930915069600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766658864488x863625930915069600,,,,/about_us/1766658864488x863625930915069600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766658864488x863625930915069600,about_us,about_us,,,,,,,,page
about_us,2025-12-29 09:33:41.344000+00:00,about_us,,46ff9798-af68-4722-8abf-a4c57fcb6a2f,ajs-next-1767000821344-7e46ff97-98af-4817-a2ca-bfa4c57fcb6a,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1766379659810x632906568018873900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766379659810x632906568018873900,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1766379659810x632906568018873900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766379659810x632906568018873900,about_us,about_us,,,,,,,,page
