anonymousId,category,userId,originalTimestamp,name,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,sponsored_listing,button_name,search_text,location,event_type
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 03:01:01.150000+00:00,,ajs-next-1756868461150-ead8774c-6791-46a5-91d5-fe880b109b03,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,true,,,sidebar,impression
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 03:01:25.110000+00:00,,ajs-next-1756868485110-d6a5d1d5-fe88-4b10-9b03-b8d353f12ae7,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,,,,,1744398484109x785674167096991400,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,false,profile_arrow,,,button_click
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 02:59:16.220000+00:00,,ajs-next-1756868356220-b90c57ea-7d06-4f57-b1c9-c7f323a3c694,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,true,,,,impression
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 02:59:24.650000+00:00,,ajs-next-1756868364650-1f5731c9-c7f3-43a3-8694-81b383145bf0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,,Realtor,,search
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 02:59:26.688000+00:00,,ajs-next-1756868366688-1ca7c283-4bb3-4d98-92af-23a175690b98,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,true,,,sidebar,impression
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 03:01:01.803000+00:00,,ajs-next-1756868461803-6791d6a5-d1d5-4e88-8b10-9b03b8d353f1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,,,,,"1744751205492x235134337285239230, 1744737250347x219277345743008400, 1744398484109x785674167096991400, 1752182630575x854371423894944000, 1747864432460x772931238395911000",,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,false,,,,impression
13fddc5f-9ad7-412c-b391-1f0090144553,index,,2025-09-03 03:00:41.159000+00:00,index,ajs-next-1756868441159-e60740c9-e890-48a2-901e-41d43976af28,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,,,,page
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 02:59:16.312000+00:00,,ajs-next-1756868356312-57ea7d06-1f57-41c9-87f3-23a3c69481b3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,true,,,,impression
13fddc5f-9ad7-412c-b391-1f0090144553,profile,,2025-09-03 03:01:26.286000+00:00,business_profile,ajs-next-1756868486286-7f15f84e-d414-46fb-ada7-23965aaf5a8c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/business_profile/matt-mansfield-with-remax-professionals-1744398484109x785674167096991400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield-with-remax-professionals-1744398484109x785674167096991400,/business_profile/matt-mansfield-with-remax-professionals-1744398484109x785674167096991400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield-with-remax-professionals-1744398484109x785674167096991400,1744398484109x785674167096991400,profile,business_profile,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,,,,page
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 02:59:24.340000+00:00,,ajs-next-1756868364340-7d061f57-31c9-47f3-a3a3-c69481b38314,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,search,,,button_click
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 03:00:03.624000+00:00,,ajs-next-1756868403624-fa3676aa-f69f-409a-bba4-46e7c7a529e8,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/business_profile/rebecca-thompson---realtor-1887-realty-co-1744751205492x235134337285239230,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/rebecca-thompson---realtor-1887-realty-co-1744751205492x235134337285239230,,,,,,1744751205492x235134337285239230,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,visit_website,,,button_click
13fddc5f-9ad7-412c-b391-1f0090144553,index,,2025-09-03 02:59:16.004000+00:00,index,ajs-next-1756868356004-43efb90c-57ea-4d06-9f57-31c9c7f323a3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,,,,page
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 03:00:58.890000+00:00,,ajs-next-1756868458890-e89018a2-d01e-41d4-b976-af2877bc5104,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,search,,,button_click
13fddc5f-9ad7-412c-b391-1f0090144553,,,2025-09-03 03:01:01.467000+00:00,,ajs-next-1756868461467-774c6791-d6a5-41d5-be88-0b109b03b8d3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,,,,,1750436264420x989591292213482400,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,true,,,main_list,impression
13fddc5f-9ad7-412c-b391-1f0090144553,search,,2025-09-03 03:01:00.841000+00:00,search,ajs-next-1756868460841-badfead8-774c-4791-96a5-d1d5fe880b10,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,search,search,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,,,,page
