category,messageId,name,originalTimestamp,anonymousId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,search_text,event_type
search,ajs-next-1770388918508-ccaf4f68-b470-4d28-8f96-945290b5e63a,search,2026-02-06 14:41:58.508000+00:00,931e486c-66c0-471e-bbba-cf8f0b106d2b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,page
index,ajs-next-1770388887981-ee931e48-6c66-40d7-9ebb-bacf8f0b106d,index,2026-02-06 14:41:27.981000+00:00,931e486c-66c0-471e-bbba-cf8f0b106d2b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1770388888283-66c0d71e-bbba-4f8f-8b10-6d2b2f598ba3,,2026-02-06 14:41:28.283000+00:00,931e486c-66c0-471e-bbba-cf8f0b106d2b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1753982403438x535213824960417500",true,,,,impression
,ajs-next-1770388918811-4f68b470-cd28-4f96-9452-90b5e63a59c4,,2026-02-06 14:41:58.811000+00:00,931e486c-66c0-471e-bbba-cf8f0b106d2b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,true,,sidebar,,impression
profile,ajs-next-1770389116836-b6f77e13-85cb-4f4a-b837-645f2d6892de,business_profile,2026-02-06 14:45:16.836000+00:00,931e486c-66c0-471e-bbba-cf8f0b106d2b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/business_profile/catholic-charities-of-denver-1762271200864x775090106640580500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/catholic-charities-of-denver-1762271200864x775090106640580500,,,,/business_profile/catholic-charities-of-denver-1762271200864x775090106640580500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/catholic-charities-of-denver-1762271200864x775090106640580500,profile,business_profile,1762271200864x775090106640580500,,,,,page
,ajs-next-1770388952562-b354d178-bea9-4d4b-8134-4f9d649e1807,,2026-02-06 14:42:32.562000+00:00,931e486c-66c0-471e-bbba-cf8f0b106d2b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1753374338412x209529915103450200,true,,main_list,,impression
,ajs-next-1770400171632-c9f011c3-ab12-4c91-8027-da3e74ccd997,,2026-02-06 17:49:31.632000+00:00,8250c9f0-11c3-4b12-ac91-8027da3e74cc,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1743547621069x279645472884266780",true,,,,impression
start,ajs-next-1770400193760-9ed1a432-7f6f-43d9-a8eb-671e846635a4,start,2026-02-06 17:49:53.760000+00:00,8250c9f0-11c3-4b12-ac91-8027da3e74cc,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
profile,ajs-next-1770400177786-ceb0655b-23e6-4673-93ce-2108edacc564,business_profile,2026-02-06 17:49:37.786000+00:00,8250c9f0-11c3-4b12-ac91-8027da3e74cc,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,1753374338412x209529915103450200,,,,,page
index,ajs-next-1770400170678-7b8250c9-f011-43ab-922c-918027da3e74,index,2026-02-06 17:49:30.678000+00:00,8250c9f0-11c3-4b12-ac91-8027da3e74cc,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
