anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,search_text,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,city,parish,event_type
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060856139-dcd08b9a-1075-453e-952b-a0d6ed572c48,2026-04-13 06:14:16.139000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,1750783679107x801419812763124500,false,,,,,,,,,,,profile_arrow,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,button_click
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060773402-729c63bc-6430-41f7-9213-2f5ec24b085b,2026-04-13 06:12:53.402000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,search,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,button_click
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060851731-4f203ed9-97b7-46f1-9cd0-8b9a1075d53e,2026-04-13 06:14:11.731000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,search,search,,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,page
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060775742-b7c5e575-8070-4fa2-912d-bc0cddf4ff83,2026-04-13 06:12:55.742000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,search,search,,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,page
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060849488-44f697de-3ec4-482b-8ab2-c75887243b63,2026-04-13 06:14:09.488000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,search,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,button_click
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060799719-add39c74-c896-4982-a9fd-e2bcae2e07d0,2026-04-13 06:13:19.719000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/business_profile/j-y-j-valdes-flooring-llc-1750783679107x801419812763124500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/j-y-j-valdes-flooring-llc-1750783679107x801419812763124500,1750783679107x801419812763124500,,,,,,,,,,,,visit_website,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,button_click
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060776056-e5758070-dfa2-412d-bc0c-ddf4ff8311b6,2026-04-13 06:12:56.056000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,,true,,,,,,,,,,,,sidebar,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,impression
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060819721-9c74c896-0982-49fd-a2bc-ae2e07d0606d,2026-04-13 06:13:39.721000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/business_profile/j-y-j-valdes-flooring-llc-1750783679107x801419812763124500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/j-y-j-valdes-flooring-llc-1750783679107x801419812763124500,1750783679107x801419812763124500,,,,,,,,,,,,visit_website,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,button_click
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060852169-3ed997b7-f6f1-4cd0-8b9a-1075d53e952b,2026-04-13 06:14:12.169000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Carpet%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Carpet%20&category=,,true,,,,,,,,,,,,sidebar,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,impression
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060849806-97de3ec4-f82b-4ab2-8758-87243b630e57,2026-04-13 06:14:09.806000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,Carpet ,,,,,,,,,,,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,search
c8568e7e-3d50-4c42-bb09-2e82d03f8167,,ajs-next-1776060841663-b832f0d9-44f6-47de-bec4-f82b4ab2c758,2026-04-13 06:14:01.663000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753374338412x209529915103450200",true,,,,,,,,,,,,,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,impression
