originalTimestamp,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,location,search_text,button_name,city,parish,event_type
2026-07-14 14:05:55.646000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037955646-a111f965-a8a9-4633-82a8-890212ac5980,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,search,,,button_click
2026-07-14 14:06:48.095000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038008095-bc8cbf16-bae8-4781-abe1-bc5e848acc67,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,1753982403438x535213824960417500,true,,,,,,,,,,main_list,,,,,impression
2026-07-14 14:05:39.410000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037939410-6295ddbf-42bd-4111-b965-a8a9563382a8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,impression
2026-07-14 14:05:34.926000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037934926-511d22e3-9290-4043-bd70-601b584b0eac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
2026-07-14 14:05:57.192000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037957192-890212ac-5980-4e1f-ba73-2945f2376ae5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,"1744335958024x226211831616957250, 1750783674403x491887953737125700, 1763255155587x707008769292458900, 1744579851707x640487742075829500, 1755621956288x571897163769246900, 1747216018889x770977089491677400, 1754927931120x470668069008822300, 1759153763139x433792388290277000, 1745273541628x945470626229355500, 1763408145585x201322720695875870, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1763148950401x545361905340972600, 1755533063776x956164571796881400, 1744751205492x235134337285239230, 1747398900475x598159844147748100, 1749742920378x965836759111504900, 1744398484109x785674167096991400, 1777042863057x294476376362385400, 1744748222708x779656090283929300, 1759930025997x126109694575208930, 1775058462201x523059865418210800, 1768581853937x610498789092930300, 1747848709032x210920410073364830, 1759423986281x805514757919405700, 1753911193017x504194995643152640, 1746855895334x711816173120128000, 1747864432460x772931238395911000, 1776552489781x780158200693874000, 1754505203290x671062062407191900, 1751319669665x621437589169731200",false,,,,,,,,,,,,,,,impression
2026-07-14 14:06:09.696000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037969696-be1ffa73-2945-4237-aae5-ec1c776d5d9f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,button_click
2026-07-14 14:06:14.230000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037974230-fa732945-f237-4ae5-ac1c-776d5d9fbc8c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,button_click
2026-07-14 14:05:56.888000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037956888-82a88902-12ac-4980-be1f-fa732945f237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,1750436264420x989591292213482400,true,,,,,,,,,,main_list,,,,,impression
2026-07-14 14:05:56.586000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037956586-563382a8-8902-42ac-9980-be1ffa732945,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,impression
2026-07-14 14:06:47.793000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038007793-5d9fbc8c-bf16-4ae8-b781-2be1bc5e848a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,impression
