messageId,anonymousId,userId,originalTimestamp,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,button_name,location,event_type
ajs-next-1778732346371-1e5b9613-896f-4026-9d63-7496861c7b9f,4dfea55c-0c27-47b3-a63b-bdd0070a82af,,2026-05-14 04:19:06.371000+00:00,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,page
ajs-next-1778736620033-15e52515-2912-4dd0-83e6-eaa679bab3ee,e5251529-12ad-40c3-a6ea-a679bab3ee8a,,2026-05-14 05:30:20.033000+00:00,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,page
ajs-next-1778747152059-983f0af3-5b77-4575-93c2-e73a55ca7192,3f0af35b-77c5-4593-82e7-3a55ca71923a,,2026-05-14 08:25:52.059000+00:00,terms,terms_of_service,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/solomons-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/solomons-toolbox-1750436264420x989591292213482400,[],False,,/terms_of_service/solomons-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/solomons-toolbox-1750436264420x989591292213482400,,terms,terms_of_service,,,,page
ajs-next-1778749517058-f81f1161-fcb6-4dc0-b373-20ba3abc49dd,1f1161fc-b6ed-4073-b320-ba3abc49ddbf,,2026-05-14 09:05:17.058000+00:00,about_us,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/damiano-disciples-incsm-1775244057768x699511577684581800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/damiano-disciples-incsm-1775244057768x699511577684581800,[],False,,/about_us/damiano-disciples-incsm-1775244057768x699511577684581800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/damiano-disciples-incsm-1775244057768x699511577684581800,,about_us,about_us,,,,page
ajs-next-1778753697411-16cfa614-1a5a-47f0-8acb-e5484f265b72,cfa6141a-5ab7-408a-8be5-484f265b721a,,2026-05-14 10:14:57.411000+00:00,about_us,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1778747148700x202557106444193570,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778747148700x202557106444193570,[],False,,/about_us/1778747148700x202557106444193570,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778747148700x202557106444193570,,about_us,about_us,,,,page
ajs-next-1778765490972-e803394d-63ec-4849-a420-a85979fa32c9,03394d63-ecd8-4964-a0a8-5979fa32c96c,,2026-05-14 13:31:30.972000+00:00,about_us,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1778753694358x797401508066118300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778753694358x797401508066118300,[],False,,/about_us/1778753694358x797401508066118300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778753694358x797401508066118300,,about_us,about_us,,,,page
ajs-next-1778765950581-5c1c8c6c-5c25-4ac5-a943-21b57431b8c4,1c8c6c5c-25ca-45e9-8321-b57431b8c471,,2026-05-14 13:39:10.581000+00:00,how_it_works,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1778753694358x797401508066118300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778753694358x797401508066118300,[],False,,/how_it_works/1778753694358x797401508066118300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778753694358x797401508066118300,,how_it_works,how_it_works,,,,page
ajs-next-1778767554271-2bdf35e8-7d84-47ab-b340-ffe14336fd0d,d9563683-0395-46dc-a393-89a99331a114,,2026-05-14 14:05:54.271000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,,,,page
ajs-next-1778767548314-57d95636-8303-45a6-9ca3-9389a99331a1,d9563683-0395-46dc-a393-89a99331a114,,2026-05-14 14:05:48.314000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,,,,page
ajs-next-1778767558270-84c342a6-f430-42ae-8733-2aa58b89ac04,d9563683-0395-46dc-a393-89a99331a114,,2026-05-14 14:05:58.270000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,1753982403438x535213824960417500,profile,business_profile,,,,page
