category,messageId,anonymousId,name,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,event_type
,ajs-next-1788815433581-d01d31aa-e1d9-4d1d-a7c9-05d68d3bed6c,7a73f65b-1d4e-4547-914b-b26bb32c275e,,,2026-09-07 21:10:33.581000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=professional-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=professional-services,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,,sidebar,true,,impression
,ajs-next-1788815507801-f3601d92-3dfb-444e-b821-4b9313a5b7ba,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:11:47.801000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1747415704843x665338483592092500, 1746855895334x711816173120128000, 1761762460002x434978052003146300, 1748389292320x918627677903932400, 1788219546192x434403220948011970, 1777042895042x187867473484191420, 1758120880051x675194275556497400, 1747184079669x994211808429350800, 1752687366861x422755081931784260, 1751749348389x952656707958261400, 1770755356265x111382421474427680",,false,,impression
,ajs-next-1788815522955-78214b93-13a5-47ba-b27a-2743c2e0e86c,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:12:02.955000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1753909381745x872991521395046100, 1749173974503x736079030141835600, 1761930377989x951815782791809400, 1746631267951x741803061642879500, 1776102250538x198432379819539760, 1771433486472x495156137805681660, 1745528732739x896561533370513300, 1747185390251x665604546429507900, 1746938798847x931997689495082400, 1777052217878x935579896985562900, 1772482882558x843076024552954900, 1778678470875x691076180629588500, 1744157592334x292550965261606100, 1762957766158x632118084948257900, 1747420152884x437771544876149700, 1747594874125x270237571814453630, 1782146204142x629417106351450200, 1764781838221x716772635359430500, 1764893879099x465248075524681500, 1744740154739x566945822952470660, 1763305551668x997299018011994600, 1749057953945x756346430245684600",,false,,impression
about_us,ajs-next-1788815464386-31862f19-4afd-4f61-8884-601fb25df62c,7a73f65b-1d4e-4547-914b-b26bb32c275e,about_us,,2026-09-07 21:11:04.386000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/about_us/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1788815402752x825258399249442700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/about_us/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1788815402752x825258399249442700,about_us,about_us,,,,,page
index,ajs-next-1788815421405-307a73f6-5b1d-4e15-8711-4bb26bb32c27,7a73f65b-1d4e-4547-914b-b26bb32c275e,index,,2026-09-07 21:10:21.405000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
search,ajs-next-1788815433280-9b8ed01d-31aa-41d9-9d1d-a7c905d68d3b,7a73f65b-1d4e-4547-914b-b26bb32c275e,search,,2026-09-07 21:10:33.280000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=professional-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=professional-services,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,?category=professional-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=professional-services,search,search,,,,,page
search,ajs-next-1788815490538-657b4a30-bd17-441e-bdd6-fa3dc47cf360,40c34103-1d89-485b-80eb-f0b1dc98783a,search,,2026-09-07 21:11:30.538000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,search,search,,,,,page
,ajs-next-1788815522648-744e7821-4b93-43a5-b7ba-b27a2743c2e0,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:12:02.648000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=health-wellness,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,1744643921578x315333816253624100,main_list,true,,impression
how_it_works,ajs-next-1788815635621-faba8396-38e5-4dca-88c7-11704066001c,7a73f65b-1d4e-4547-914b-b26bb32c275e,how_it_works,,2026-09-07 21:13:55.621000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/how_it_works/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788815402752x825258399249442700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/how_it_works/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788815402752x825258399249442700,how_it_works,how_it_works,,,,,page
,ajs-next-1788815507194-fa3dc47c-f360-4d92-bdfb-744e78214b93,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:11:47.194000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,,sidebar,true,,impression
