category,messageId,name,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,city,search_text,location,parish,business_id,sponsored_listing,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
index,ajs-next-1764028901870-d123e2a9-1d58-457c-9c31-392e9385a9fa,index,,2025-11-25 00:01:41.870000+00:00,23e2a91d-58b5-4cdc-b139-2e9385a9fa0a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,page
,ajs-next-1764028986858-e0b4d7c7-1502-4e3e-b09c-39feabaa3878,,,2025-11-25 00:03:06.858000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,sidebar,,,true,,,,,impression
,ajs-next-1764028997177-abaa3878-802a-4bf5-aa33-f526052e526a,,,2025-11-25 00:03:17.177000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,sidebar,,,true,,,,,impression
,ajs-next-1764028928361-96924b90-a335-41a9-8717-e0b4d7c71502,,,2025-11-25 00:02:08.361000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,main_list,,1744579851707x640487742075829500,true,,,,,impression
Finance,ajs-next-1764028996551-309c39fe-abaa-4878-802a-4bf52a33f526,,,2025-11-25 00:03:16.551000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,main_search,St. Vincent de Paul,,,,,,,search
,ajs-next-1764028901874-a91d58b5-7cdc-4139-ae93-85a9fa0a6f65,,,2025-11-25 00:01:41.874000+00:00,23e2a91d-58b5-4cdc-b139-2e9385a9fa0a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"1753374338412x209529915103450200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1758312173588x895819358343598700, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1744335958024x226211831616957250",true,,,,,impression
,ajs-next-1764028902355-58b57cdc-3139-4e93-85a9-fa0a6f65bd9c,,,2025-11-25 00:01:42.355000+00:00,23e2a91d-58b5-4cdc-b139-2e9385a9fa0a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"1753374338412x209529915103450200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1758312173588x895819358343598700, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1744335958024x226211831616957250",true,,,,,impression
,ajs-next-1764028987165-d7c71502-ae3e-409c-b9fe-abaa3878802a,,,2025-11-25 00:03:07.164000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,main_list,,1744579851707x640487742075829500,true,,,,,impression
,ajs-next-1764028997792-802a4bf5-2a33-4526-852e-526a2cb77746,,,2025-11-25 00:03:17.792000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,,,"1761919898226x928695665795906700, 1744134674881x127285411168640110, 1750784029587x963255839088365200, 1758312173588x895819358343598700, 1750785338983x949958887494882000, 1763672237927x725969385673238800, 1746827109704x963221719337950200, 1746635677548x343522492232585660, 1753982403438x535213824960417500, 1753135741395x558904608479141570, 1761762406893x958878656538368500, 1757369121056x350487849823425600, 1744391553368x301043576290850300",false,,,,,impression
,ajs-next-1764028985914-a33511a9-4717-40b4-97c7-1502ae3e309c,,,2025-11-25 00:03:05.914000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,,,search,,,,button_click
