anonymousId,messageId,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,button_name,event_type
e12c0a84-7128-4b2e-b224-1eb7673e823f,ajs-next-1766122284203-71285b2e-b224-4eb7-a73e-823fd3f0ab1e,,2025-12-19 05:31:24.203000+00:00,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,main_list,true,,,,,,,,,,,impression
e85f8cf0-4471-43e6-b55c-89dce519ed24,ajs-next-1766136588857-ace85f8c-f044-4103-a635-5c89dce519ed,,2025-12-19 09:29:48.857000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1764644667188x886009611020299900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1764644667188x886009611020299900,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,about_us,about_us,/about_us/1764644667188x886009611020299900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1764644667188x886009611020299900,about_us,about_us,,page
3986117e-4b8f-48a4-b182-ef8a901aa4c7,ajs-next-1766143593569-1a398611-7e4b-4f58-a4b1-82ef8a901aa4,,2025-12-19 11:26:33.569000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763318556244x738112408079304400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763318556244x738112408079304400,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,how_it_works,how_it_works,/how_it_works/1763318556244x738112408079304400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763318556244x738112408079304400,how_it_works,how_it_works,,page
2539fd02-2fb0-412a-b4b6-637de1350f2f,ajs-next-1766157802796-ed2539fd-022f-40c1-aa34-b6637de1350f,,2025-12-19 15:23:22.796000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1764506888431x376316728751568500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764506888431x376316728751568500,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,how_it_works,how_it_works,/how_it_works/1764506888431x376316728751568500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764506888431x376316728751568500,how_it_works,how_it_works,,page
0662a2ae-3a70-4e01-a7c3-d6ea19ad266c,ajs-next-1766188287031-260662a2-ae3a-409e-81a7-c3d6ea19ad26,,2025-12-19 23:51:27.031000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763388522681x909145588262314100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763388522681x909145588262314100,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,how_it_works,how_it_works,/how_it_works/1763388522681x909145588262314100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763388522681x909145588262314100,how_it_works,how_it_works,,page
f229d98d-0854-487d-b717-41de3611f282,ajs-next-1766198469001-620267de-a216-43c6-a6d6-7e94722f02b2,,2025-12-20 02:41:09.001000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,[],False,,,,,start,start,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,start,start,,page
d2a42ee0-18d1-41b6-ba64-a18049af227d,ajs-next-1766198421090-ddda929e-9363-4edc-a197-bc7a42d2bbac,,2025-12-20 02:40:21.090000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,[],False,,,,,start,start,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,start,start,,page
f229d98d-0854-487d-b717-41de3611f282,ajs-next-1766198435620-63f229d9-8d08-44f8-bdf7-1741de3611f2,,2025-12-20 02:40:35.620000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
37a26872-8061-4448-b562-f4072943a219,ajs-next-1766198414659-68728061-0448-4562-b407-2943a219de83,,2025-12-20 02:40:14.659000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753374338412x209529915103450200",,true,,,,,,,,,,,impression
d2a42ee0-18d1-41b6-ba64-a18049af227d,ajs-next-1766198386705-ead2a42e-e018-4161-b63a-64a18049af22,,2025-12-20 02:39:46.705000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
