messageId,anonymousId,originalTimestamp,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,location,button_name,search_text,event_type
ajs-next-1787148724849-cca03964-b396-4df7-aa07-fac797430c18,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 14:12:04.849000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,index,index,/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,index,index,,,,page
ajs-next-1787148725162-b396edf7-aa07-4ac7-9743-0c187d5187f0,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 14:12:05.162000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,,,,impression
ajs-next-1787148725081-3964b396-edf7-4a07-bac7-97430c187d51,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 14:12:05.081000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,,,,impression
ajs-next-1787152429774-017f2455-fb76-456b-899b-0276721cb199,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:49.774000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=health-wellness,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,"1747420152884x437771544876149700, 1744740154739x566945822952470660, 1749173974503x736079030141835600, 1744157592334x292550965261606100, 1749057953945x756346430245684600, 1746938798847x931997689495082400, 1746631267951x741803061642879500, 1745528732739x896561533370513300, 1747594874125x270237571814453630, 1747185390251x665604546429507900",false,,,,,,,,,,,,,impression
ajs-next-1787152394493-05d0257d-adea-4b54-86cf-9bd01b16aacf,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:14.493000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=shopping-retail,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,main_list,,,impression
ajs-next-1787152385369-395b29c3-d216-4377-a4fb-cf243395a6a3,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:05.369000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&query=&category=,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,main_list,,,impression
ajs-next-1787152429155-b2ff558c-017f-4455-bb76-f56bc99b0276,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:49.155000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=health-wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=health-wellness,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,true,,,,,,,,,,sidebar,,,impression
ajs-next-1787152430703-f56bc99b-0276-421c-b199-415da5a023aa,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:50.703000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=arts-media-publishing,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=arts-media-publishing,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,main_list,,,impression
ajs-next-1787152107985-a1cded59-b8ac-48ad-ba47-765e50431fee,022ccb54-cf0d-494a-8330-ee891d5d5de7,2026-08-19 15:08:27.985000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,page
ajs-next-1787152384748-8ec3ca2f-395b-49c3-9216-d37724fbcf24,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:04.748000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&query=&category=,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,search,search,/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&query=&category=,search,search,,,,page
ajs-next-1787152394806-257dadea-ab54-46cf-9bd0-1b16aacf16e6,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:14.806000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=shopping-retail,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,"1748389292320x918627677903932400, 1747415704843x665338483592092500, 1746855895334x711816173120128000, 1747184079669x994211808429350800",false,,,,,,,,,,,,,impression
ajs-next-1787152414243-9d75a19b-8844-42cf-9e29-2fbaa0b8a042,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:34.243000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=construction-trades,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=construction-trades,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,search,search,/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=construction-trades,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=construction-trades,search,search,,,,page
ajs-next-1787152419006-a0b8a042-a252-4529-ba88-a2ddebd5b2ff,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 15:13:39.006000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?debug_mode=true&category=home-local-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?debug_mode=true&category=home-local-services,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,main_list,,,impression
