category,name,originalTimestamp,messageId,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,city,parish,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
index,index,2026-02-16 00:54:21.723000+00:00,ajs-next-1771203261723-dbd7f35b-5674-411b-849e-e3829cdace04,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,page
,,2026-02-16 00:54:38.699000+00:00,ajs-next-1771203278699-694615da-582e-4b50-95d1-0bbdf4259cf4,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,1770943484557x164806709481949200,main_list,true,,,,,,,,impression
,,2026-02-16 00:54:38.394000+00:00,ajs-next-1771203278394-61896946-15da-482e-bb50-d5d10bbdf425,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,,sidebar,true,,,,,,,,impression
,,2026-02-16 00:55:33.363000+00:00,ajs-next-1771203333363-c19257b0-5cb2-4951-8d0b-ea58604db7a8,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,,search,,,,,,,button_click
,,2026-02-16 00:54:39.009000+00:00,ajs-next-1771203279009-15da582e-bb50-45d1-8bbd-f4259cf4568d,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,,,false,,,,,,,,impression
,,2026-02-16 00:54:22.028000+00:00,ajs-next-1771203262028-74511b44-9ee3-429c-9ace-04619d1e8099,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743547621069x279645472884266780, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743549178851x847080663521240200",,true,,,,,,,,impression
,,2026-02-16 00:54:22.006000+00:00,ajs-next-1771203262006-5b567451-1b44-4ee3-829c-dace04619d1e,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743547621069x279645472884266780, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743549178851x847080663521240200",,true,,,,,,,,impression
,,2026-02-16 00:55:22.922000+00:00,ajs-next-1771203322922-582ebb50-d5d1-4bbd-b425-9cf4568d6730,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Tree%20removal&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Tree%20removal&category=Home%20Services,,,,,,,,,,,search,,,,,,,button_click
Home Services,,2026-02-16 00:54:36.497000+00:00,ajs-next-1771203276497-9ee3829c-dace-4461-9d1e-80991a5a4b4d,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,Tree removal,,,,,,search
search,search,2026-02-16 00:55:32.247000+00:00,ajs-next-1771203332247-f4259cf4-568d-4730-8192-57b05cb25951,,d7f35b56-7451-4b44-9ee3-829cdace0461,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 416.1.0.27.68 (iPhone14,5; iOS 26_2_1; en_US; en; scale=3.00; 1170x2532; IABMV/1; 881475720) Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,,,,,,,,,,page
