name,userId,originalTimestamp,category,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,sponsored_listing,button_name,event_type
,,2026-04-10 19:18:11.454000+00:00,,1c1b9370-e605-4582-b7dd-da0c72ea2286,ajs-next-1775848691454-36b9effb-34d1-4464-a138-a0a930c1c55e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,1744579851707x640487742075829500,,,,,,main_list,true,,impression
,,2026-04-10 19:17:53.906000+00:00,,1c1b9370-e605-4582-b7dd-da0c72ea2286,ajs-next-1775848673906-e6057582-77dd-4a0c-b2ea-22861dd06045,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1771436045389x658317953644361100, 1753982403438x535213824960417500, 1744335958024x226211831616957250",,,,,,,true,,impression
,,2026-04-10 19:17:52.649000+00:00,,1c1b9370-e605-4582-b7dd-da0c72ea2286,ajs-next-1775848672649-9370e605-7582-47dd-9a0c-72ea22861dd0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1771436045389x658317953644361100, 1753982403438x535213824960417500, 1744335958024x226211831616957250",,,,,,,true,,impression
,,2026-04-10 19:33:09.264000+00:00,,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849589264-0d8a701e-2ff2-48ea-b836-f8adc32aff96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,"1771436045389x658317953644361100, 1745533127765x291393362647413700, 1747848709032x210920410073364830, 1753911193017x504194995643152640, 1751744301621x758526182685981300, 1744134674881x127285411168640110, 1764963280733x431041418968701760, 1759930025997x126109694575208930, 1744157592334x292550965261606100, 1747184079669x994211808429350800, 1747170561218x640297169073643000, 1763672237927x725969385673238800, 1744579851707x640487742075829500, 1748581534531x956271769254002200, 1744260813114x505427712482621440, 1749742920378x965836759111504900, 1750783679107x801419812763124500, 1755621956288x571897163769246900, 1744391553368x301043576290850300, 1758147388607x898014240790697700, 1746548006831x128230088489826860, 1766011883106x917993758751800300, 1754949567759x639105313824555300, 1747165674437x491901038958021200, 1746855895334x711816173120128000, 1751749348389x952656707958261400, 1772482882558x843076024552954900, 1757355028996x505189727810192200, 1745597587022x519433479989605000, 1746467711533x453074785848415400, 1753982403438x535213824960417500, 1750783674403x491887953737125700, 1763509156539x144450665564595840, 1758568877707x715638242996164100, 1761762460002x434978052003146300, 1771545376609x752763268373144000, 1760118921086x941497076227920600, 1749580724532x760028975589297300, 1752182630575x854371423894944000, 1763569204895x378265538177280400, 1747594874125x270237571814453630, 1765001972595x338020444395840100, 1753909381745x872991521395046100, 1746843461447x686795565273950000, 1775058462201x523059865418210800, 1769719058268x843927058977011000, 1754081360962x724252535884739300, 1768581853937x610498789092930300, 1744397288473x909294892772270800, 1755533063776x956164571796881400, 1750785338983x949958887494882000, 1747183179554x540122160625888100, 1746938798847x931997689495082400, 1751224250248x539537516841198200, 1763408145585x201322720695875870, 1750784029587x963255839088365200, 1747420152884x437771544876149700, 1744740154739x566945822952470660, 1765991015203x350068785849064760, 1747415704843x665338483592092500, 1770152894907x464897480736850900, 1744751205492x235134337285239230, 1747163465846x476237095610093000, 1757437593796x460281345015416640, 1768844277981x664142917381285000, 1743549178851x847080663521240200, 1747398900475x598159844147748100, 1746631267951x741803061642879500, 1754505203290x671062062407191900, 1757438153395x416809556103947500, 1760458225389x690604949380638100, 1751425811600x127124815802215140, 1754624056001x759184470890143000, 1770943484557x164806709481949200, 1770755356265x111382421474427680, 1746765568691x979794717919274100, 1744743906400x631087870982087000, 1774573166178x561429420668618400, 1758312173588x895819358343598700, 1744398484109x785674167096991400, 1769635123521x385801932800474700, 1762889659042x996969350831174300, 1759153763139x433792388290277000, 1753985929691x853149258569598100, 1771003581692x955050931630977700, 1768426055630x579798080961828200, 1744907031541x119079844893356540, 1745273541628x945470626229355500, 1757369121056x350487849823425600, 1763255155587x707008769292458900, 1743547621069x279645472884266780, 1771021914207x198452557005754900, 1765399408996x262641226191956400, 1766070455303x639821695383855700, 1768238584049x399775147114029200, 1749173974503x736079030141835600, 1747216018889x770977089491677400, 1763148950401x545361905340972600, 1744748222708x779656090283929300, 1758120880051x675194275556497400, 1757720364741x595714121363069200, 1771538218470x758525499484679000, 1761930377989x951815782791809400, 1747221865162x703532834449508000, 1744319857648x144922844539837200, 1752717497153x537286585580736960, 1771433486472x495156137805681660, 1764893879099x465248075524681500, 1750423781412x480534435350699700, 1752687366861x422755081931784260, 1762364811793x796217509980630800, 1768427614253x929508274229176300, 1744643921578x315333816253624100, 1764342295066x618134664283571500, 1753465897836x101289632151690960, 1747185390251x665604546429507900, 1747864432460x772931238395911000, 1761762406893x958878656538368500, 1744760380914x558772773612561600, 1747827548541x313848517899538500, 1744737250347x219277345743008400, 1763305551668x997299018011994600, 1775244057768x699511577684581800, 1746635677548x343522492232585660, 1753135741395x558904608479141570, 1764711530894x480989914892320700, 1768584016102x834619843946063900, 1753374338412x209529915103450200, 1744175271939x575064790204550460, 1744335958024x226211831616957250, 1759423986281x805514757919405700, 1754941249648x796792188496967000, 1751319669665x621437589169731200, 1754927931120x470668069008822300, 1744736810207x919925185055488400, 1755271286521x378031808974615550, 1748389292320x918627677903932400, 1772982809798x739419868972941400, 1771517879190x523242735258870900, 1749068120323x412920063824988600, 1761919898226x928695665795906700, 1745528732739x896561533370513300, 1764781838221x716772635359430500, 1750784475796x702583457937545900, 1761044854709x307607562836745150, 1750436264420x989591292213482400, 1748365021326x105262688542451250, 1762957766158x632118084948257900, 1754084205128x675147807630683600, 1751402056748x637551618886434600, 1744282156200x727555159743162000, 1762271200864x775090106640580500, 1746827109704x963221719337950200, 1749057953945x756346430245684600",,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,false,,impression
,,2026-04-10 19:32:55.913000+00:00,,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849575913-51c149ac-91f3-480f-b1b8-7481e855e5c0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1752717497153x537286585580736960",,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,true,,impression
,,2026-04-10 19:34:05.691000+00:00,,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849645691-9f8f06a6-a556-48d6-b39f-42eeb4a777ad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1743547621069x279645472884266780",,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,true,,impression
,,2026-04-10 19:32:55.612000+00:00,,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849575612-ab6651c1-49ac-41f3-b80f-71b87481e855,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1752717497153x537286585580736960",,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,true,,impression
index,,2026-04-10 19:32:55.602000+00:00,index,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849575602-b73a3eab-6651-4149-ac91-f3f80f71b874,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,page
,,2026-04-10 19:34:05.694000+00:00,,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849645694-06a6a556-68d6-439f-82ee-b4a777ad92e0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1743547621069x279645472884266780",,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,true,,impression
about_us,,2026-04-10 19:33:03.486000+00:00,about_us,3a3eab66-51c1-49ac-91f3-f80f71b87481,ajs-next-1775849583486-b2a03bab-cdd4-4a33-96b2-b2795f402fa1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/about_us/1775849570317x424016829364954430,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1775849570317x424016829364954430,/about_us/1775849570317x424016829364954430,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1775849570317x424016829364954430,,about_us,about_us,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,page
