userId,originalTimestamp,anonymousId,category,messageId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,event_type
,2026-09-06 01:17:35.005000+00:00,022ccb54-cf0d-494a-8330-ee891d5d5de7,profile,ajs-next-1788657455005-1fe7e1a3-ce51-4659-a91b-1544762394ad,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.1 Mobile/15E148 Safari/604.1",/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,1771545376609x752763268373144000,profile,business_profile,,,,,,page
,2026-09-06 01:23:35.955000+00:00,022ccb54-cf0d-494a-8330-ee891d5d5de7,profile,ajs-next-1788657815955-6d1894da-81d8-4d35-ab47-60e435791292,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.1 Mobile/15E148 Safari/604.1",/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roban-design-llc---civil-engineering-1771545376609x752763268373144000,1771545376609x752763268373144000,profile,business_profile,,,,,,page
,2026-09-06 12:22:37.662000+00:00,ed254259-29da-4a7f-9d41-556c84cc697f,,ajs-next-1788697357662-29da9a7f-5d41-456c-84cc-697f631bf76d,,Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/122.0,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1781830336957x808577548450478500, 1770943484557x164806709481949200, 1744643921578x315333816253624100, 1771436045389x658317953644361100",,,true,,,,,impression
,2026-09-06 12:22:36.872000+00:00,ed254259-29da-4a7f-9d41-556c84cc697f,index,ajs-next-1788697356872-f3ed2542-5929-4a9a-bf5d-41556c84cc69,index,Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/122.0,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,page
,2026-09-06 12:22:37.658000+00:00,ed254259-29da-4a7f-9d41-556c84cc697f,,ajs-next-1788697357658-425929da-9a7f-4d41-956c-84cc697f631b,,Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/122.0,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1781830336957x808577548450478500, 1770943484557x164806709481949200, 1744643921578x315333816253624100, 1771436045389x658317953644361100",,,true,,,,,impression
,2026-09-07 13:45:29.357000+00:00,54e87665-3fac-48d2-bb67-9cf739556f1a,how_it_works,ajs-next-1788788729357-2654e876-653f-4ce8-92bb-679cf739556f,how_it_works,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1788630155227x302951009859333760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788630155227x302951009859333760,/how_it_works/1788630155227x302951009859333760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788630155227x302951009859333760,,how_it_works,how_it_works,,[],False,,,page
,2026-09-07 14:10:16.744000+00:00,ecf1cf6d-5e50-4c1f-9242-419147ba5852,how_it_works,ajs-next-1788790216744-cfecf1cf-6d5e-40bc-9f52-42419147ba58,how_it_works,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1788574414636x347428422963964600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788574414636x347428422963964600,/how_it_works/1788574414636x347428422963964600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788574414636x347428422963964600,,how_it_works,how_it_works,,[],False,,,page
,2026-09-07 15:51:33.949000+00:00,b1188574-ebb3-4d1f-9cb8-dde47f7db32f,how_it_works,ajs-next-1788796293949-e2b11885-74eb-43ad-9f9c-b8dde47f7db3,how_it_works,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/dance-tailor--1788219546192x434403220948011970,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/dance-tailor--1788219546192x434403220948011970,/how_it_works/dance-tailor--1788219546192x434403220948011970,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/dance-tailor--1788219546192x434403220948011970,,how_it_works,how_it_works,,[],False,,,page
,2026-09-07 21:10:33.897000+00:00,7a73f65b-1d4e-4547-914b-b26bb32c275e,,ajs-next-1788815433897-31aae1d9-5d1d-47c9-85d6-8d3bed6cd4b6,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=professional-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=professional-services,,,,,,1770943484557x164806709481949200,,,true,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,main_list,impression
,2026-09-07 21:11:46.886000+00:00,40c34103-1d89-485b-80eb-f0b1dc98783a,search,ajs-next-1788815506886-fdd6fa3d-c47c-4360-9d92-3dfb744e7821,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,,search,search,,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,page
