originalTimestamp,messageId,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,location,button_name,search_text,event_type
2025-08-22 19:13:15.386000+00:00,ajs-next-1755889995386-05d6c227-b637-4707-96b4-cfd9d0537474,,d6c227b6-3727-4756-b4cf-d9d053747404,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,page
2025-08-22 18:54:42.816000+00:00,ajs-next-1755888882816-7056b958-79b6-426d-900a-bbd3db92861f,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,impression
2025-08-22 18:52:15.245000+00:00,ajs-next-1755888735245-345c2947-543f-45ca-82d2-44c7a4193375,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,1744335958024x226211831616957250,true,,,,,,,,,,main_list,,,impression
2025-08-22 18:49:37.129000+00:00,ajs-next-1755888577129-d3cc2b49-3292-477f-89b8-d0cc8f50d6ad,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,,,,,,impression
2025-08-22 18:52:12.244000+00:00,ajs-next-1755888732244-7f4d40ff-0f1c-4b74-a679-a3dcdb4524e3,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,,,,,,,,Home Services,,,,,search
2025-08-22 18:54:42.127000+00:00,ajs-next-1755888882127-6d487056-b958-49b6-926d-d00abbd3db92,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,index,index,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,page
2025-08-22 18:54:29.875000+00:00,ajs-next-1755888869875-4d2c30b0-e3b1-4b4f-b482-f3a85358adda,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/how_it_works/1755888384457x182759615651649340,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755888384457x182759615651649340,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,how_it_works,how_it_works,/how_it_works/1755888384457x182759615651649340,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755888384457x182759615651649340,how_it_works,how_it_works,,,,page
2025-08-22 18:49:47.668000+00:00,ajs-next-1755888587668-01ae747a-2040-4f0c-a0f9-5f0f8896b004,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/business_profile/wild-goose-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-1750436264420x989591292213482400,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,1750436264420x989591292213482400,,profile,business_profile,/business_profile/wild-goose-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-1750436264420x989591292213482400,profile,business_profile,,,,page
2025-08-22 18:52:14.637000+00:00,ajs-next-1755888734637-59789fde-345c-4947-943f-d5ca02d244c7,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,page
2025-08-22 18:52:15.563000+00:00,ajs-next-1755888735563-2947543f-d5ca-42d2-84c7-a4193375d725,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,"1747398900475x598159844147748100, 1749742920378x965836759111504900, 1754505203290x671062062407191900, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1744398484109x785674167096991400, 1750783674403x491887953737125700, 1754927931120x470668069008822300, 1744748222708x779656090283929300, 1746855895334x711816173120128000, 1747864432460x772931238395911000, 1755533063776x956164571796881400, 1745273541628x945470626229355500, 1744579851707x640487742075829500, 1753911193017x504194995643152640, 1744335958024x226211831616957250",false,,,,,,,,,,,,,impression
2025-08-22 18:54:41.231000+00:00,ajs-next-1755888881231-30b0e3b1-eb4f-4482-b3a8-5358adda1040,1747183179554x540122160625888100,aba399a9-5b29-41d8-b9dd-7c8e2b79e447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/how_it_works/1755888384457x182759615651649340,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755888384457x182759615651649340,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,,,,,,,,,,navbar,logo,,button_click
2025-08-22 19:13:16.070000+00:00,ajs-next-1755889996070-37270756-b4cf-49d0-9374-7404df7332d1,,d6c227b6-3727-4756-b4cf-d9d053747404,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200",true,,,,,,,,,,,,,impression
2025-08-22 19:13:16.065000+00:00,ajs-next-1755889996065-27b63727-0756-44cf-99d0-53747404df73,,d6c227b6-3727-4756-b4cf-d9d053747404,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200",true,,,,,,,,,,,,,impression
2025-08-23 07:37:28.301000+00:00,ajs-next-1755934648301-c0dde613-4e6a-4ddd-9ae0-95885bc4dc5b,,fb5d3661-c0dd-4613-8e6a-8ddddae09588,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,,,,,,impression
2025-08-23 07:37:27.694000+00:00,ajs-next-1755934647694-3661c0dd-e613-4e6a-8ddd-dae095885bc4,,fb5d3661-c0dd-4613-8e6a-8ddddae09588,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,,,,,,impression
2025-08-23 07:37:27.686000+00:00,ajs-next-1755934647686-6cfb5d36-61c0-4de6-934e-6a8ddddae095,,fb5d3661-c0dd-4613-8e6a-8ddddae09588,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,page
