anonymousId,originalTimestamp,userId,category,messageId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,search_text,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
0bb9e761-cdd0-4b5e-a6d2-543b7778f0ae,2026-02-20 05:55:26.592000+00:00,,,ajs-next-1771566926592-d18e5331-3d53-476d-9d7b-9f7954e634f9,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/145.0.7632.55 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,,,,,,1743549178851x847080663521240200,true,,,main_list,,,,impression
0bb9e761-cdd0-4b5e-a6d2-543b7778f0ae,2026-02-20 05:53:37.214000+00:00,,,ajs-next-1771566817214-114673f9-d3f7-47bd-a985-cbf9febdec5f,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/145.0.7632.55 Mobile/15E148 Safari/604.1",/business_profile/slider-artworks-1744335958024x226211831616957250,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,,,,,,,,1744335958024x226211831616957250,,visit_website,,,,,,button_click
0bb9e761-cdd0-4b5e-a6d2-543b7778f0ae,2026-02-20 05:52:39.449000+00:00,,,ajs-next-1771566759449-cdd08b5e-a6d2-443b-b778-f0aee7835115,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/145.0.7632.55 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1771436045389x658317953644361100, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1750436264420x989591292213482400",true,,,,,,,impression
0bb9e761-cdd0-4b5e-a6d2-543b7778f0ae,2026-02-20 05:55:33.472000+00:00,,,ajs-next-1771566933472-f93059c6-ff01-4a2e-aac6-f9f6e3bd6265,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/145.0.7632.55 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1750436264420x989591292213482400",true,,,,,,,impression
0bb9e761-cdd0-4b5e-a6d2-543b7778f0ae,2026-02-20 05:54:52.954000+00:00,,index,ajs-next-1771566892954-a51fc491-78a7-4d65-b437-dd83eebb51d5,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/145.0.7632.55 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,page
0bb9e761-cdd0-4b5e-a6d2-543b7778f0ae,2026-02-20 05:55:32.997000+00:00,,index,ajs-next-1771566932997-3c65f930-59c6-4f01-9a2e-eac6f9f6e3bd,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/145.0.7632.55 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,page
b91da9a8-0208-44a5-89c4-df9528128515,2026-02-20 15:32:13.426000+00:00,,,ajs-next-1771601533426-020894a5-c9c4-4f95-a812-851578a982b7,,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1770943484557x164806709481949200, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1743547621069x279645472884266780",true,,,,[],False,,impression
b91da9a8-0208-44a5-89c4-df9528128515,2026-02-20 15:32:12.871000+00:00,,index,ajs-next-1771601532871-eeb91da9-a802-4894-a5c9-c4df95281285,index,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,[],False,,page
b91da9a8-0208-44a5-89c4-df9528128515,2026-02-20 15:32:12.875000+00:00,,,ajs-next-1771601532875-a9a80208-94a5-49c4-9f95-2812851578a9,,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1770943484557x164806709481949200, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1743547621069x279645472884266780",true,,,,[],False,,impression
47380c33-77c2-4058-9fc3-8d28c0112e4c,2026-02-20 16:46:26.372000+00:00,,profile,ajs-next-1771605986372-ff47380c-3377-4220-981f-c38d28c0112e,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/og-health,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/og-health,/business_profile/og-health,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/og-health,profile,business_profile,1771433486472x495156137805681660,,,,,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,macOS,page
c730c260-9091-4c9e-9769-7de9fed5ce92,2026-02-21 07:15:14.753000+00:00,,profile,ajs-next-1771658114753-ebc730c2-6090-419c-9e57-697de9fed5ce,business_profile,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,profile,business_profile,1744740154739x566945822952470660,,,,,[],False,,page
