originalTimestamp,name,userId,category,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,city,search_text,location,parish,button_name,sponsored_listing,event_type
2025-12-16 18:18:57.299000+00:00,index,,index,b1931b92-2597-4075-bb8c-5fa879366c23,ajs-next-1765909137299-d3ce4c89-71e6-4034-8100-744a70942637,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,macOS,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
2025-12-16 18:19:11.318000+00:00,search,,search,b1931b92-2597-4075-bb8c-5fa879366c23,ajs-next-1765909151318-3a205633-530d-4707-9f31-c3091c9f6082,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Pueblo&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Pueblo&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,macOS,/search,https://coloradocatholicbusinessdirectory.com/,?query=Pueblo&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Pueblo&category=Health%20%26%20Wellness,search,search,,,,,,,,page
2025-12-16 18:19:31.106000+00:00,,,,b1931b92-2597-4075-bb8c-5fa879366c23,ajs-next-1765909171106-b4b983e4-5ef5-4ab8-bc5a-a6878d3480c7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,macOS,,,,,,,,,,,sidebar,,,true,impression
2025-12-16 19:05:44.191000+00:00,how_it_works,,how_it_works,c7790c15-9975-4b32-a013-d87d08099a7d,ajs-next-1765911944191-5ac7790c-1599-45bb-b2a0-13d87d08099a,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1764605350180x212146663454500830,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764605350180x212146663454500830,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1764605350180x212146663454500830,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764605350180x212146663454500830,how_it_works,how_it_works,,,,,,,,page
2025-12-16 19:04:02.740000+00:00,,,,94937ea8-a310-468c-bc29-56fb75817e71,ajs-next-1765911842740-a310e68c-3c29-46fb-b581-7e71b014c83a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1753374338412x209529915103450200",,,,,,true,impression
2025-12-16 19:04:02.093000+00:00,,,,94937ea8-a310-468c-bc29-56fb75817e71,ajs-next-1765911842093-7ea8a310-e68c-4c29-96fb-75817e71b014,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1753374338412x209529915103450200",,,,,,true,impression
2025-12-16 19:25:27.990000+00:00,how_it_works,,how_it_works,9e6667ac-3443-4532-a21f-55822f425d48,ajs-next-1765913127990-329e6667-ac34-43b5-b262-1f55822f425d,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1764738516330x291517782903527600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764738516330x291517782903527600,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1764738516330x291517782903527600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764738516330x291517782903527600,how_it_works,how_it_works,,,,,,,,page
2025-12-16 19:35:12.561000+00:00,how_it_works,,how_it_works,e207f771-1b92-4728-8466-69dd8440371d,ajs-next-1765913712561-9de207f7-711b-4287-a844-6669dd844037,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1764954265099x501783305505284300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764954265099x501783305505284300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1764954265099x501783305505284300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764954265099x501783305505284300,how_it_works,how_it_works,,,,,,,,page
2025-12-16 21:08:07.721000+00:00,dashboard,,dashboard,b04f1791-46d7-4c35-9310-c96b6a6093bb,ajs-next-1765919287721-86b04f17-9146-473c-b5d3-10c96b6a6093,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,1765919291824x910758927298323600,,,,,,,page
2025-12-17 06:07:52.288000+00:00,index,,index,66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765951672288-c5c6ac1c-5df0-451e-888f-4e4a4fad989f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
2025-12-17 06:07:52.557000+00:00,,,,66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765951672557-ac1c5df0-d51e-488f-8e4a-4fad989f514b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500",,,,,,true,impression
2025-12-17 06:07:52.591000+00:00,,,,66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765951672591-5df0d51e-c88f-4e4a-8fad-989f514b434b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500",,,,,,true,impression
