category,name,userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,city,search_text,location,parish,event_type
,,,2025-10-27 17:53:22.551000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587602551-b0b87a5c-fe46-4fe6-90c9-ef6aab4a60d2,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743549178851x847080663521240200, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753982403438x535213824960417500",true,,,,,,impression
search,search,,2025-10-27 17:53:41.422000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587621422-82ab6cec-310b-475c-b509-3fe18acab488,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,search,search,,,,,,,,page
,,,2025-10-27 17:53:48.361000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587628361-f5093fe1-8aca-4488-9b87-c6e03cb5df97,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,,,search,,,,,button_click
,,,2025-10-27 17:53:48.667000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587628667-3fe18aca-b488-4b87-86e0-3cb5df97d88f,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,,,,,Guitar,main_search,,search
,,,2025-10-27 17:53:28.666000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587608666-07313112-7c39-4d60-bf78-dc37f2e59679,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,1743549178851x847080663521240200,true,,,,main_list,,impression
search,search,,2025-10-27 17:53:48.984000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587628984-8acab488-5b87-46e0-bcb5-df97d88f4b22,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Guitar&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Guitar&category=,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=Guitar&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Guitar&category=,search,search,,,,,,,,page
profile,business_profile,,2025-10-27 17:53:59.307000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587639307-a211d521-9628-4b32-b5ac-e39fc393dd35,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/business_profile/wild-goose-music-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,,,,/business_profile/wild-goose-music-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,,,page
,,,2025-10-27 17:53:28.362000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587608362-ee550731-3112-4c39-8d60-ff78dc37f2e5,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Solomon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Solomon&category=,,,,,,,,,,,,true,,,,sidebar,,impression
,,,2025-10-27 17:53:49.288000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587629288-b4885b87-c6e0-4cb5-9f97-d88f4b22c2d6,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Guitar&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Guitar&category=,,,,,,,,,,,,true,,,,sidebar,,impression
profile,business_profile,,2025-10-27 17:53:32.913000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587612913-fb917887-9ebd-49c4-8e0a-845b94cb0517,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/business_profile/solomon-l-carrico-pipemaker-1748389292320x918627677903932400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomon-l-carrico-pipemaker-1748389292320x918627677903932400,,,,/business_profile/solomon-l-carrico-pipemaker-1748389292320x918627677903932400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomon-l-carrico-pipemaker-1748389292320x918627677903932400,profile,business_profile,1748389292320x918627677903932400,,,,,,,page
