category,messageId,userId,originalTimestamp,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,location,search_text,email,traits,city,parish,event_type
,ajs-next-1774842718375-054dd52b-ad7c-4b6c-8fa5-2223aa01a1f8,,2026-03-30 03:51:58.375000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,Colorado Springs ,,,,,search
,ajs-next-1774842799025-8081db7c-af3e-4310-ad4d-5fa9f31b36f6,,2026-03-30 03:53:19.025000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,"1766011883106x917993758751800300, 1764963280733x431041418968701760, 1770152894907x464897480736850900, 1770943484557x164806709481949200, 1762364811793x796217509980630800, 1746765568691x979794717919274100, 1744397288473x909294892772270800, 1763255155587x707008769292458900, 1749057953945x756346430245684600, 1774573166178x561429420668618400",,,false,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
profile,ajs-next-1774842789807-38af7a28-0b55-4c89-aba5-a8249f5b6e77,,2026-03-30 03:53:09.807000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,business_profile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
index,ajs-next-1774842705064-dacf353a-974e-460a-9f05-4dd52bad7c9b,,2026-03-30 03:51:45.064000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
,ajs-next-1774842882102-23e5424b-2b0d-41c3-8add-fd40b297743a,,2026-03-30 03:54:42.102000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,logo,navbar,,,,,,button_click
,ajs-next-1774842930021-f036c199-c863-45a2-89d6-31155bdae684,,2026-03-30 03:55:30.021000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1753374338412x209529915103450200",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
,ajs-next-1774842928520-f7e5fc28-d62c-4328-8a23-fac341ba50b8,,2026-03-30 03:55:28.520000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/about_us/1774822359753x195426309118684100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774822359753x195426309118684100,,,,,,,,,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,logo,navbar,,,,,,button_click
search,ajs-next-1774842721675-d689fceb-bdaf-44f2-a878-2821f3f0f912,,2026-03-30 03:52:01.675000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,search,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,search,search,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
,ajs-next-1774842788732-a8782821-f3f0-4912-b40b-d1cd7f3404b5,,2026-03-30 03:53:08.732000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,1752717497153x537286585580736960,,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,more_info,main_sponsor,,,,,,button_click
about_us,ajs-next-1774842887208-4e23f7e5-fc28-462c-9328-ca23fac341ba,,2026-03-30 03:54:47.208000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,about_us,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/about_us/1774822359753x195426309118684100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774822359753x195426309118684100,/about_us/1774822359753x195426309118684100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774822359753x195426309118684100,,about_us,about_us,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
