userId,messageId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,location,city,search_text,parish,button_name,event_type
,ajs-next-1781414271857-c3528f33-4f41-4c70-bdba-cf14cc6d3369,2026-06-14 05:17:51.857000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781413926336-d209e868-5a1c-4931-a2ca-82815c9e33a4,2026-06-14 05:12:06.336000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781413935756-08acf591-e1cb-47da-a77d-e110acb14ea4,2026-06-14 05:12:15.756000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/bunn--sons-custom-builders-1745273541628x945470626229355500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/bunn--sons-custom-builders-1745273541628x945470626229355500,,,,1745273541628x945470626229355500,,,,,,,,,,,,,,,visit_website,button_click
,ajs-next-1781414277863-bc70bdba-cf14-4c6d-b369-0e0f5e2c8677,2026-06-14 05:17:57.863000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1759930025997x126109694575208930,false,,,,,,,,,,,,,,more_info_text,button_click
,ajs-next-1781413933376-d8b108ac-f591-41cb-a7da-677de110acb1,2026-06-14 05:12:13.376000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/bunn--sons-custom-builders-1745273541628x945470626229355500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/bunn--sons-custom-builders-1745273541628x945470626229355500,,,,1745273541628x945470626229355500,,business_profile,profile,/business_profile/bunn--sons-custom-builders-1745273541628x945470626229355500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/bunn--sons-custom-builders-1745273541628x945470626229355500,profile,business_profile,,,,,,page
,ajs-next-1781414391484-22616985-0a64-4bd9-9974-840f8c3e24d7,2026-06-14 05:19:51.484000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781413926643-e8685a1c-f931-42ca-8281-5c9e33a498a4,2026-06-14 05:12:06.643000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,1750436264420x989591292213482400,true,,,,,,,,,,main_list,,,,,impression
,ajs-next-1781413968286-663b326e-c66c-4019-8dbd-ab3f2ed13fb0,2026-06-14 05:12:48.286000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1776552489781x780158200693874000, 1744579851707x640487742075829500, 1763255155587x707008769292458900, 1777042863057x294476376362385400, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1759930025997x126109694575208930, 1744751205492x235134337285239230, 1747398900475x598159844147748100, 1744398484109x785674167096991400, 1747864432460x772931238395911000, 1763408145585x201322720695875870, 1747216018889x770977089491677400, 1763148950401x545361905340972600, 1755621956288x571897163769246900, 1759423986281x805514757919405700, 1775058462201x523059865418210800, 1746855895334x711816173120128000, 1745273541628x945470626229355500, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1754505203290x671062062407191900, 1744748222708x779656090283929300, 1754927931120x470668069008822300, 1755533063776x956164571796881400, 1759153763139x433792388290277000, 1751319669665x621437589169731200, 1768581853937x610498789092930300, 1753911193017x504194995643152640",false,,,,,,,,,,,,,,,impression
,ajs-next-1781414258289-53e0f743-d77f-4cb9-a6a0-e045146f9785,2026-06-14 05:17:38.289000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781414325275-090ed92c-0bf3-4345-997c-40b802ead8d9,2026-06-14 05:18:45.275000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,search,search,/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,,,page
