userId,anonymousId,name,category,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,email,traits,search_text,city,parish,event_type
1743547621069x279645472884266780,05dc8fb8-d2ee-42ee-918b-3b74e4db38db,,,ajs-next-1767741276954-a356a6e8-967f-4564-927d-74cb1d84f852,2026-01-06 23:14:36.954000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,,map_maker,,,,,,,button_click
1743547621069x279645472884266780,05dc8fb8-d2ee-42ee-918b-3b74e4db38db,,,ajs-next-1767741271991-3bc2eca5-a356-46e8-967f-d564527d74cb,2026-01-06 23:14:31.991000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,1753982403438x535213824960417500,true,,main_list,,,,,,impression
1743547621069x279645472884266780,05dc8fb8-d2ee-42ee-918b-3b74e4db38db,,,ajs-next-1767741271690-4de53bc2-eca5-4356-a6e8-967fd564527d,2026-01-06 23:14:31.690000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,true,,sidebar,,,,,,impression
1743547621069x279645472884266780,05dc8fb8-d2ee-42ee-918b-3b74e4db38db,,,ajs-next-1767741267790-c0375fe9-04ec-4628-9f50-52cc89b1469c,2026-01-06 23:14:27.790000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,"1752717497153x537286585580736960, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1743549178851x847080663521240200",true,,,,,,,,impression
1743547621069x279645472884266780,05dc8fb8-d2ee-42ee-918b-3b74e4db38db,business_profile,profile,ajs-next-1767741280330-2367111f-a3aa-4edd-8fda-4207751295a0,2026-01-06 23:14:40.330000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/business_profile/catholic-family-crate-1761044854709x307607562836745150,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/catholic-family-crate-1761044854709x307607562836745150,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,/business_profile/catholic-family-crate-1761044854709x307607562836745150,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/catholic-family-crate-1761044854709x307607562836745150,profile,business_profile,1761044854709x307607562836745150,,,,,,,,,page
1743547621069x279645472884266780,05dc8fb8-d2ee-42ee-918b-3b74e4db38db,,,ajs-next-1767741279082-a6e8967f-d564-427d-b4cb-1d84f852fb3e,2026-01-06 23:14:39.082000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,1761044854709x307607562836745150,false,more_info_text_map,,,,,,,button_click
,80ceab5e-3bcf-400e-a68b-3870302a8a0e,about_us,about_us,ajs-next-1767780185750-4180ceab-5e3b-4f70-8ee6-8b3870302a8a,2026-01-07 10:03:05.750000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1767431078734x621226262927588900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767431078734x621226262927588900,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1767431078734x621226262927588900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767431078734x621226262927588900,about_us,about_us,,,,,,,,,,page
,b6f38c76-5fa4-4beb-92be-3560c90db0a1,about_us,about_us,ajs-next-1767798333187-51b6f38c-765f-440b-ab92-be3560c90db0,2026-01-07 15:05:33.187000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1767451820220x162835990702935740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767451820220x162835990702935740,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1767451820220x162835990702935740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767451820220x162835990702935740,about_us,about_us,,,,,,,,,,page
,575b9c10-faf6-48c1-aadc-da56cd83909f,how_it_works,how_it_works,ajs-next-1767800683639-59575b9c-10fa-4658-81aa-dcda56cd8390,2026-01-07 15:44:43.639000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1767262204383x371581015467079360,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1767262204383x371581015467079360,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1767262204383x371581015467079360,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1767262204383x371581015467079360,how_it_works,how_it_works,,,,,,,,,,page
,32a9f547-1678-463f-90da-cf0372d069bd,,,ajs-next-1767802470822-1678263f-50da-4f03-b2d0-69bd09dc01a7,2026-01-07 16:14:30.822000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1750436264420x989591292213482400, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,,,,,,impression
