userId,anonymousId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,location,category,name,path,referrer,search,title,url,category_properties,name_properties,city,search_text,parish,button_name,event_type
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:17.467000+00:00,ajs-next-1779062177467-987de277-70be-4c36-9afe-2fcdd9b10fab,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,"1771436045389x658317953644361100, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1751744301621x758526182685981300",true,,,,,,,,,,,,,,,impression
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:26.687000+00:00,ajs-next-1779062186687-f36ac963-16f5-410d-81a2-59cd20cd20e6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,1744335958024x226211831616957250,true,main_list,,,,,,,,,,,,,,impression
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:26.064000+00:00,ajs-next-1779062186064-e8ff2b32-f36a-4963-96f5-510dc1a259cd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,search,search,,,,,page
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:32.981000+00:00,ajs-next-1779062192981-20cd20e6-e193-46dc-b0cc-69fac976f37e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,true,main_list,,,,,,,,,,,,,,impression
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:32.359000+00:00,ajs-next-1779062192359-c1a259cd-20cd-40e6-a193-f6dcb0cc69fa,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,search,search,,,,,page
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:31.997000+00:00,ajs-next-1779062191997-510dc1a2-59cd-40cd-a0e6-e193f6dcb0cc,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,main_search,,,,,,,,Health & Wellness,,,Gym,,,search
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:32.665000+00:00,ajs-next-1779062192665-59cd20cd-20e6-4193-b6dc-b0cc69fac976,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,true,sidebar,,,,,,,,,,,,,,impression
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:17.040000+00:00,ajs-next-1779062177040-05f2814c-2098-4de2-b770-beec365afe2f,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:26.370000+00:00,ajs-next-1779062186370-2b32f36a-c963-46f5-910d-c1a259cd20cd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,true,sidebar,,,,,,,,,,,,,,impression
,f2814c20-987d-4277-b0be-ec365afe2fcd,2026-05-17 23:56:26.998000+00:00,ajs-next-1779062186998-c96316f5-510d-41a2-99cd-20cd20e6e193,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,1761930377989x951815782791809400,false,,,,,,,,,,,,,,,impression
