anonymousId,messageId,category,name,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,search_text,city,parish,event_type
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155551245-6c521463-22c9-486b-bf77-c2ca5e4ad4ab,,,,2025-12-08 00:59:11.245000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,"1754949567759x639105313824555300, 1744736810207x919925185055488400, 1762889659042x996969350831174300, 1757720364741x595714121363069200, 1752687366861x422755081931784260, 1763569204895x378265538177280400, 1749068120323x412920063824988600, 1748581534531x956271769254002200, 1751402056748x637551618886434600, 1744319857648x144922844539837200, 1752182630575x854371423894944000, 1753985929691x853149258569598100, 1744282156200x727555159743162000, 1747221865162x703532834449508000, 1744260813114x505427712482621440, 1750784475796x702583457937545900, 1764711530894x480989914892320700, 1749580724532x760028975589297300, 1744743906400x631087870982087000, 1745597587022x519433479989605000, 1746467711533x453074785848415400, 1750423781412x480534435350699700, 1753465897836x101289632151690960, 1748365021326x105262688542451250, 1761044854709x307607562836745150, 1747170561218x640297169073643000, 1748389292320x918627677903932400, 1747184079669x994211808429350800, 1758147388607x898014240790697700, 1763305551668x997299018011994600, 1758120880051x675194275556497400, 1760118921086x941497076227920600, 1745533127765x291393362647413700, 1750436264420x989591292213482400, 1758568877707x715638242996164100, 1755271286521x378031808974615550, 1765001972595x338020444395840100, 1746843461447x686795565273950000, 1744737250347x219277345743008400, 1764342295066x618134664283571500, 1746548006831x128230088489826860, 1754941249648x796792188496967000, 1763509156539x144450665564595840, 1762271200864x775090106640580500, 1762364811793x796217509980630800, 1747165674437x491901038958021200, 1744907031541x119079844893356540, 1751744301621x758526182685981300, 1750783679107x801419812763124500, 1757355028996x505189727810192200, 1747163465846x476237095610093000",,false,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155492753-760a8b2f-3d85-438a-9ed4-a65fe534eeea,,,,2025-12-08 00:58:12.753000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,1743547621069x279645472884266780,main_list,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155788782-685f7c55-2c2b-4e28-b837-5e47ddf80049,,,,2025-12-08 01:03:08.782000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1750436264420x989591292213482400, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1744335958024x226211831616957250",,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155540143-b1089b06-33ba-4d3d-8a17-359204190c3b,,,,2025-12-08 00:59:00.143000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,sidebar,true,,,,,,,,impression
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155484743-311951cf-7e02-4393-8c13-6462e234f7eb,,,,2025-12-08 00:58:04.743000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,1744397288473x909294892772270800,,false,more_info_text,,,,,,,button_click
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155510796-3d85438a-1ed4-465f-a534-eeea7a88df47,,,,2025-12-08 00:58:30.796000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,1744643921578x315333816253624100,,false,profile_arrow,,,,,,,button_click
dd20cd8e-2a11-43b0-8a74-918bd1f15835,ajs-next-1765158565797-e8dd20cd-8e2a-41c3-b0ca-74918bd1f158,how_it_works,how_it_works,,2025-12-08 01:49:25.797000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1764842745888x790859805000077200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764842745888x790859805000077200,/how_it_works/1764842745888x790859805000077200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764842745888x790859805000077200,how_it_works,how_it_works,,,,,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,page
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155592379-b2b999c7-1da6-4d7c-986b-4f783552305c,search,search,,2025-12-08 00:59:52.379000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,,,,,page
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155456942-effde0df-c323-4b94-8d03-88b3b84e5465,Marketing/B2B,,,2025-12-08 00:57:36.942000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,search
66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765155456634-11cbeffd-e0df-4323-bb94-8d0388b3b84e,,,,2025-12-08 00:57:36.634000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,search,,,,,,,button_click
