userId,messageId,anonymousId,category,name,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,event_type
,ajs-next-1769124677845-e12fc64c-3f70-418c-9fcc-df00fc742a43,b32ded0b-9016-489c-b55f-03671e6ce457,start,start,2026-01-22 23:31:17.845000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,page
,ajs-next-1769124676183-e9b32ded-0b90-46e8-9c75-5f03671e6ce4,b32ded0b-9016-489c-b55f-03671e6ce457,index,index,2026-01-22 23:31:16.183000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
,ajs-next-1769132484053-c031da21-5443-4d01-9b14-b454c6f07d96,9d07c031-da21-4443-ad01-9b14b454c6f0,,,2026-01-23 01:41:24.053000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Linux,,,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744579851707x640487742075829500",true,impression
,ajs-next-1769132484059-da215443-ad01-4b14-b454-c6f07d96b194,9d07c031-da21-4443-ad01-9b14b454c6f0,,,2026-01-23 01:41:24.059000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Linux,,,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744579851707x640487742075829500",true,impression
,ajs-next-1769132483716-5d9d07c0-31da-4154-83ad-019b14b454c6,9d07c031-da21-4443-ad01-9b14b454c6f0,index,index,2026-01-23 01:41:23.716000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
,ajs-next-1769135055589-42a9b40c-7197-4482-8852-3cc776f029c9,72a62e5d-9d2f-4221-b779-a0a430c53b2e,profile,business_profile,2026-01-23 02:24:15.589000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,1743547621069x279645472884266780,,page
,ajs-next-1769135052768-d21aac67-58f9-4ee0-890f-e0e11e0a8411,72a62e5d-9d2f-4221-b779-a0a430c53b2e,profile,business_profile,2026-01-23 02:24:12.768000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,page
,ajs-next-1769135049138-4d3fd131-d27f-4308-9815-65a5bdb05070,72a62e5d-9d2f-4221-b779-a0a430c53b2e,,,2026-01-23 02:24:09.138000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1753374338412x209529915103450200",true,impression
,ajs-next-1769135038763-ff72a62e-5d9d-4f02-a1b7-79a0a430c53b,72a62e5d-9d2f-4221-b779-a0a430c53b2e,start,start,2026-01-23 02:23:58.763000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,page
,ajs-next-1769135047951-ba864d3f-d131-427f-9308-181565a5bdb0,72a62e5d-9d2f-4221-b779-a0a430c53b2e,index,index,2026-01-23 02:24:07.951000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
