category,messageId,name,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,search_text,email,input_num,input_name,city,parish,input_value,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,properties,traits,event_type
how_it_works,ajs-next-1772450455146-142a4027-2037-435a-9145-8f1df546afa3,how_it_works,,2026-03-02 11:20:55.146000+00:00,2a402720-3723-4a11-858f-1df546afa322,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1772168747709x740208653847068700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772168747709x740208653847068700,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/how_it_works/1772168747709x740208653847068700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772168747709x740208653847068700,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,,page
index,ajs-next-1772454354050-8eef0e76-5dd5-4878-b889-6f40e895dd24,index,,2026-03-02 12:25:54.050000+00:00,ef0e765d-d538-4838-896f-40e895dd24cd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1772454392588-f340c9eb-799f-4f6c-9e99-ef8e79ad012d,,,2026-03-02 12:26:32.588000+00:00,097bf340-c9eb-499f-af6c-5e99ef8e79ad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1770943484557x164806709481949200, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1744335958024x226211831616957250",true,,,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1772454354270-765dd538-7838-496f-80e8-95dd24cd8839,,,2026-03-02 12:25:54.270000+00:00,ef0e765d-d538-4838-896f-40e895dd24cd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1771436045389x658317953644361100",true,,,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1772454384628-7838896f-40e8-45dd-a4cd-88390809c73f,,,2026-03-02 12:26:24.628000+00:00,ef0e765d-d538-4838-896f-40e895dd24cd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,,,login,navbar,,,,,,,,,,,,,,,,,,,button_click
,ajs-next-1772454354357-d5387838-896f-40e8-95dd-24cd88390809,,,2026-03-02 12:25:54.357000+00:00,ef0e765d-d538-4838-896f-40e895dd24cd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1771436045389x658317953644361100",true,,,,,,,,,,,,,,,,,,,,,impression
start,ajs-next-1772454387406-e7874c65-1641-4cc3-92a3-6ff8158b8ca8,start,,2026-03-02 12:26:27.406000+00:00,ef0e765d-d538-4838-896f-40e895dd24cd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,[],False,,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,start,start,,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1772454392699-c9eb799f-6f6c-4e99-af8e-79ad012d4754,,,2026-03-02 12:26:32.699000+00:00,097bf340-c9eb-499f-af6c-5e99ef8e79ad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1770943484557x164806709481949200, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1744335958024x226211831616957250",true,,,,,,,,,,,,,,,,,,,,,impression
index,ajs-next-1772454392389-00097bf3-40c9-4b79-9f6f-6c5e99ef8e79,index,,2026-03-02 12:26:32.389000+00:00,097bf340-c9eb-499f-af6c-5e99ef8e79ad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
about_us,ajs-next-1772466230669-cf87a35f-a725-4c4e-9e9d-c90fb9f9a12f,about_us,,2026-03-02 15:43:50.669000+00:00,87a35fa7-25ac-4e5e-9dc9-0fb9f9a12fa1,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772164950516x913002429640618800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772164950516x913002429640618800,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/about_us/1772164950516x913002429640618800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772164950516x913002429640618800,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,page
