category,anonymousId,name,messageId,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,button_name,sponsored_listing,location,search_text,event_type
profile,49bd0240-2eeb-4224-90cd-f711612a5ebb,business_profile,ajs-next-1774312226430-9949bd02-402e-4bf2-a490-cdf711612a5e,,2026-03-24 00:30:26.430000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,macOS,/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,1749068120323x412920063824988600,profile,business_profile,,,,,page
profile,7aa12b4b-a95d-4758-ad6c-ea84cf74aa51,business_profile,ajs-next-1774312254217-5a7aa12b-4ba9-4d27-986d-6cea84cf74aa,,2026-03-24 00:30:54.217000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,1749068120323x412920063824988600,profile,business_profile,,,,,page
profile,e0e4fec9-1807-47d6-9af8-e6025cbf11f7,business_profile,ajs-next-1774328049948-2ec53906-0709-492e-8f73-32df3d53f7df,,2026-03-24 04:54:09.948000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,1750436264420x989591292213482400,profile,business_profile,,,,,page
profile,e0e4fec9-1807-47d6-9af8-e6025cbf11f7,business_profile,ajs-next-1774328054985-3f25f4cb-c402-4b40-93f4-9a74adb99dc9,,2026-03-24 04:54:14.984000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,,,,,page
profile,e0e4fec9-1807-47d6-9af8-e6025cbf11f7,business_profile,ajs-next-1774328045030-fee0e4fe-c918-4797-961a-f8e6025cbf11,,2026-03-24 04:54:05.030000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,,,,,page
profile,1c3a9fd6-ea68-4f46-b397-54acaf660f5e,business_profile,ajs-next-1774355222808-051c3a9f-d6ea-480f-86f3-9754acaf660f,,2026-03-24 12:27:02.808000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,,,,/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,1747398900475x598159844147748100,profile,business_profile,,,,,page
,1c3a9fd6-ea68-4f46-b397-54acaf660f5e,,ajs-next-1774355239530-9fd6ea68-0f46-4397-94ac-af660f5ed808,,2026-03-24 12:27:19.530000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,,,,,,,,,1747398900475x598159844147748100,,,visit_website,,,,button_click
,1262a833-820e-4b00-9d44-c3913294c928,,ajs-next-1774360999264-a833820e-db00-4d44-8391-3294c928e112,,2026-03-24 14:03:19.264000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '146'}]",False,Windows,,,,,,"1743547621069x279645472884266780, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1744579851707x640487742075829500",,,,true,,,impression
,1262a833-820e-4b00-9d44-c3913294c928,,ajs-next-1774361049815-afd4658c-d57f-45f2-bcb2-f64854ae40bd,,2026-03-24 14:04:09.815000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=cpa&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=cpa&category=Finance,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '146'}]",False,Windows,,,,,,,,,,true,sidebar,,impression
dashboard,554e0692-d5d4-4887-827f-4f27ccf67e0c,dashboard,ajs-next-1774361723942-86554e06-92d5-4438-87c2-7f4f27ccf67e,,2026-03-24 14:15:23.942000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1774361735002x962910883933132300,dashboard,dashboard,,,,,page
