originalTimestamp,anonymousId,messageId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,location,search_text,city,parish,event_type
2025-12-12 17:13:53.725000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559633725-85997efd-68c0-4bf8-9493-48bdce9e105e,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,1753374338412x209529915103450200,true,,,,,,,,,,,,,,main_list,,,,impression
2025-12-12 17:13:18.063000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559598063-7f6f324e-2752-4b06-b689-a8d574b536f8,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,true,,,,,,,,,,,,,,sidebar,,,,impression
2025-12-12 17:16:03.156000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559763156-da3e2af2-cad0-4bc7-aadc-51fefbdeb0a1,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,true,,,,,,,,,,,,,,sidebar,,,,impression
2025-12-12 17:19:38.700000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559978700-51fefbde-b0a1-4c46-8556-57e3e9ca6e81,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,?query=Grant&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Grant&category=,,,search,search,/search,,?query=Grant&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Grant&category=,search,search,,,,,,,,,page
2025-12-12 17:13:18.683000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559598683-27520b06-b689-48d5-b4b5-36f854fd7579,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"1747165674437x491901038958021200, 1748581534531x956271769254002200, 1757437593796x460281345015416640, 1744579851707x640487742075829500, 1761044854709x307607562836745150, 1746765568691x979794717919274100, 1745528732739x896561533370513300, 1753465897836x101289632151690960, 1754927931120x470668069008822300, 1753374338412x209529915103450200, 1753909381745x872991521395046100, 1744397288473x909294892772270800, 1760458225389x690604949380638100, 1763255155587x707008769292458900, 1758120880051x675194275556497400, 1761919898226x928695665795906700, 1752687366861x422755081931784260, 1751402056748x637551618886434600, 1747827548541x313848517899538500, 1746843461447x686795565273950000, 1763408145585x201322720695875870, 1754941249648x796792188496967000, 1747184079669x994211808429350800, 1747420152884x437771544876149700, 1744391553368x301043576290850300, 1744134674881x127285411168640110, 1764893879099x465248075524681500, 1744157592334x292550965261606100, 1745533127765x291393362647413700, 1763509156539x144450665564595840, 1746827109704x963221719337950200, 1759423986281x805514757919405700, 1750785338983x949958887494882000, 1762889659042x996969350831174300, 1765399408996x262641226191956400, 1753985929691x853149258569598100, 1757720364741x595714121363069200, 1750783674403x491887953737125700, 1746548006831x128230088489826860, 1743549178851x847080663521240200, 1763305551668x997299018011994600, 1751224250248x539537516841198200, 1744907031541x119079844893356540, 1764963280733x431041418968701760, 1764342295066x618134664283571500, 1763569204895x378265538177280400, 1760118921086x941497076227920600, 1747216018889x770977089491677400, 1744740154739x566945822952470660, 1762957766158x632118084948257900, 1744335958024x226211831616957250, 1753135741395x558904608479141570, 1752182630575x854371423894944000, 1747170561218x640297169073643000, 1747163465846x476237095610093000, 1746938798847x931997689495082400, 1749057953945x756346430245684600, 1757369121056x350487849823425600, 1744643921578x315333816253624100, 1744751205492x235134337285239230, 1744737250347x219277345743008400, 1765001972595x338020444395840100, 1747183179554x540122160625888100, 1757438153395x416809556103947500, 1764711530894x480989914892320700, 1744282156200x727555159743162000, 1761762406893x958878656538368500, 1763672237927x725969385673238800, 1755271286521x378031808974615550, 1747864432460x772931238395911000, 1750784029587x963255839088365200, 1748365021326x105262688542451250, 1745273541628x945470626229355500, 1746631267951x741803061642879500, 1749068120323x412920063824988600, 1761930377989x951815782791809400, 1750784475796x702583457937545900, 1754081360962x724252535884739300, 1753911193017x504194995643152640, 1748389292320x918627677903932400, 1747185390251x665604546429507900, 1744319857648x144922844539837200, 1751749348389x952656707958261400, 1746467711533x453074785848415400, 1745597587022x519433479989605000, 1747221865162x703532834449508000, 1744736810207x919925185055488400, 1755533063776x956164571796881400, 1758147388607x898014240790697700, 1746635677548x343522492232585660, 1751744301621x758526182685981300, 1749173974503x736079030141835600, 1747594874125x270237571814453630, 1752717497153x537286585580736960, 1759153763139x433792388290277000, 1744743906400x631087870982087000, 1746855895334x711816173120128000, 1751425811600x127124815802215140, 1747415704843x665338483592092500, 1754084205128x675147807630683600, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1753982403438x535213824960417500, 1757355028996x505189727810192200, 1744760380914x558772773612561600, 1750783679107x801419812763124500, 1761762460002x434978052003146300, 1758312173588x895819358343598700, 1762364811793x796217509980630800, 1744260813114x505427712482621440, 1754624056001x759184470890143000, 1750423781412x480534435350699700, 1749580724532x760028975589297300, 1747398900475x598159844147748100, 1744398484109x785674167096991400, 1747848709032x210920410073364830, 1763148950401x545361905340972600, 1758568877707x715638242996164100, 1749742920378x965836759111504900, 1754949567759x639105313824555300, 1754505203290x671062062407191900, 1759930025997x126109694575208930, 1764781838221x716772635359430500, 1750436264420x989591292213482400, 1744175271939x575064790204550460, 1762271200864x775090106640580500, 1743547621069x279645472884266780, 1744748222708x779656090283929300",false,,,,,,,,,,,,,,,,,,impression
2025-12-12 17:16:03.461000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559763461-2af2cad0-9bc7-4adc-91fe-fbdeb0a12c46,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,1753374338412x209529915103450200,true,,,,,,,,,,,,,,main_list,,,,impression
2025-12-12 17:14:41.408000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559681408-9c47a493-219f-4a68-b94b-d6d939ec252c,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,search,search,/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,page
2025-12-12 17:14:25.694000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559665694-290ba958-1fef-4acd-8a12-467eac149081,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,1747398900475x598159844147748100,,,,,,,,,,,,,,visit_website,,,,,button_click
2025-12-12 17:16:02.753000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559762753-7bc4da3e-2af2-4ad0-9bc7-6adc51fefbde,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,search,search,/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,page
2025-12-12 17:16:03.775000+00:00,b5dc7f6f-324e-4752-8b06-b689a8d574b5,ajs-next-1765559763775-cad09bc7-6adc-41fe-bbde-b0a12c464556,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"1753374338412x209529915103450200, 1753909381745x872991521395046100, 1761919898226x928695665795906700, 1753465897836x101289632151690960, 1763148950401x545361905340972600, 1743549178851x847080663521240200, 1763569204895x378265538177280400, 1761762406893x958878656538368500, 1765001972595x338020444395840100, 1761930377989x951815782791809400, 1757437593796x460281345015416640, 1746843461447x686795565273950000, 1752182630575x854371423894944000, 1744740154739x566945822952470660, 1746631267951x741803061642879500, 1760458225389x690604949380638100, 1754505203290x671062062407191900, 1747185390251x665604546429507900, 1753135741395x558904608479141570, 1746827109704x963221719337950200, 1762889659042x996969350831174300, 1747848709032x210920410073364830, 1758568877707x715638242996164100, 1753911193017x504194995643152640, 1750785338983x949958887494882000, 1744751205492x235134337285239230, 1746855895334x711816173120128000, 1750784475796x702583457937545900, 1744335958024x226211831616957250, 1744134674881x127285411168640110, 1754081360962x724252535884739300, 1763408145585x201322720695875870, 1747170561218x640297169073643000, 1757355028996x505189727810192200, 1746765568691x979794717919274100, 1747163465846x476237095610093000, 1750436264420x989591292213482400, 1744398484109x785674167096991400, 1757720364741x595714121363069200, 1747183179554x540122160625888100, 1748365021326x105262688542451250, 1744643921578x315333816253624100, 1751425811600x127124815802215140, 1744579851707x640487742075829500, 1757438153395x416809556103947500, 1763672237927x725969385673238800, 1744282156200x727555159743162000, 1744157592334x292550965261606100, 1744907031541x119079844893356540, 1747398900475x598159844147748100, 1752687366861x422755081931784260, 1744397288473x909294892772270800, 1762364811793x796217509980630800, 1744748222708x779656090283929300, 1751319669665x621437589169731200, 1764711530894x480989914892320700, 1751402056748x637551618886434600, 1749068120323x412920063824988600, 1754941249648x796792188496967000, 1755533063776x956164571796881400, 1746548006831x128230088489826860, 1763509156539x144450665564595840, 1744319857648x144922844539837200, 1744743906400x631087870982087000, 1763305551668x997299018011994600, 1750783679107x801419812763124500, 1749580724532x760028975589297300, 1744737250347x219277345743008400, 1759423986281x805514757919405700, 1750784029587x963255839088365200, 1751224250248x539537516841198200, 1763255155587x707008769292458900, 1743547621069x279645472884266780, 1747420152884x437771544876149700, 1764893879099x465248075524681500, 1744175271939x575064790204550460, 1747594874125x270237571814453630, 1755271286521x378031808974615550, 1758312173588x895819358343598700, 1758147388607x898014240790697700, 1759153763139x433792388290277000, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1751749348389x952656707958261400, 1749173974503x736079030141835600, 1748389292320x918627677903932400, 1744391553368x301043576290850300, 1754624056001x759184470890143000, 1753985929691x853149258569598100, 1745273541628x945470626229355500, 1755621956288x571897163769246900, 1757369121056x350487849823425600, 1764781838221x716772635359430500, 1754927931120x470668069008822300, 1747216018889x770977089491677400, 1744736810207x919925185055488400, 1746938798847x931997689495082400, 1752717497153x537286585580736960, 1746467711533x453074785848415400, 1747864432460x772931238395911000, 1762271200864x775090106640580500, 1765399408996x262641226191956400, 1747165674437x491901038958021200, 1747415704843x665338483592092500, 1745533127765x291393362647413700, 1747827548541x313848517899538500, 1762957766158x632118084948257900, 1750423781412x480534435350699700, 1760118921086x941497076227920600, 1749057953945x756346430245684600, 1746635677548x343522492232585660, 1754949567759x639105313824555300, 1758120880051x675194275556497400, 1745528732739x896561533370513300, 1764342295066x618134664283571500, 1744260813114x505427712482621440, 1748581534531x956271769254002200, 1753982403438x535213824960417500, 1747221865162x703532834449508000, 1764963280733x431041418968701760, 1761044854709x307607562836745150, 1759930025997x126109694575208930, 1751744301621x758526182685981300, 1754084205128x675147807630683600, 1747184079669x994211808429350800, 1744760380914x558772773612561600, 1761762460002x434978052003146300, 1745597587022x519433479989605000",false,,,,,,,,,,,,,,,,,,impression
