category,originalTimestamp,messageId,anonymousId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,location,event_type
,2026-05-16 00:36:45.481000+00:00,ajs-next-1778891805481-e4d9f7bf-e4fc-4dd1-9962-e8ec13183586,847c8464-e4d9-47bf-a4fc-6dd15962e8ec,,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,"1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1751744301621x758526182685981300, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753982403438x535213824960417500",,,true,,impression
how_it_works,2026-05-16 00:52:47.211000+00:00,ajs-next-1778892767211-1c5ba1d9-0e17-4458-9bb5-531f5419417e,5ba1d90e-1724-485b-b553-1f5419417efb,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1778879333376x703423962822556300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778879333376x703423962822556300,[],False,,/how_it_works/1778879333376x703423962822556300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778879333376x703423962822556300,,how_it_works,how_it_works,,,page
profile,2026-05-16 01:22:14.036000+00:00,ajs-next-1778894534036-8ba49a3c-82bc-4d59-9315-61ab7e8132bf,f6c09c4f-2ab8-4f10-a087-13088813d271,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,1753982403438x535213824960417500,profile,business_profile,,,page
profile,2026-05-16 01:22:03.051000+00:00,ajs-next-1778894523051-8ff6c09c-4f2a-486f-90a0-8713088813d2,f6c09c4f-2ab8-4f10-a087-13088813d271,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,,,page
start,2026-05-16 01:22:18.026000+00:00,ajs-next-1778894538026-9d87fa89-6899-40d3-846c-3edffad774b3,f6c09c4f-2ab8-4f10-a087-13088813d271,start,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,page
about_us,2026-05-16 01:40:46.104000+00:00,ajs-next-1778895646104-96753bc9-7ad9-4d60-b13f-5760cdfa20c9,753bc97a-d93d-40f1-bf57-60cdfa20c9d2,about_us,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1778873673813x909465478229706800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778873673813x909465478229706800,[],False,,/about_us/1778873673813x909465478229706800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1778873673813x909465478229706800,,about_us,about_us,,,page
how_it_works,2026-05-16 11:56:40.574000+00:00,ajs-next-1778932600574-70a872d2-399b-40e5-a78b-f1d96837697f,a872d239-9bb0-4527-8bf1-d96837697f9f,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1778892765166x490496027624219650,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778892765166x490496027624219650,[],False,,/how_it_works/1778892765166x490496027624219650,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778892765166x490496027624219650,,how_it_works,how_it_works,,,page
how_it_works,2026-05-16 15:22:38.330000+00:00,ajs-next-1778944958330-10e02b70-b5b7-4ef2-a843-962978796b09,e02b70b5-b78e-4268-8396-2978796b0943,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1778932598152x841218166517607700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778932598152x841218166517607700,[],False,,/how_it_works/1778932598152x841218166517607700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1778932598152x841218166517607700,,how_it_works,how_it_works,,,page
,2026-05-17 00:59:27.899000+00:00,ajs-next-1778979567899-1ccbaf9c-b502-45e2-98d7-d2ff2f8ebffa,0c5a1ccb-af9c-4502-a5e2-18d7d2ff2f8e,,,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,,,,,,,,true,sidebar,impression
terms,2026-05-17 03:30:55.349000+00:00,ajs-next-1778988655349-9c59e4ab-5907-4c0b-b5f5-f7f11bfdc3fb,59e4ab59-072c-4b75-b5f7-f11bfdc3fb7e,terms_of_service,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,[],False,,/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,,terms,terms_of_service,,,page
,2026-05-17 05:48:55.819000+00:00,ajs-next-1778996935819-d3cbe6c1-24dc-430e-8673-55823c1e9d78,5658b8f7-f364-43cb-a6c1-24dc730e8673,,,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,[],False,,,,,,,,,,true,main_list,impression
how_it_works,2026-05-17 06:37:24.507000+00:00,ajs-next-1778999844508-ce1e9d29-05af-42c8-94a6-e857d0722942,1e9d2905-afb2-4814-a6e8-57d0722942fd,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/trusty-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/trusty-toolbox-1750436264420x989591292213482400,[],False,,/how_it_works/trusty-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/trusty-toolbox-1750436264420x989591292213482400,,how_it_works,how_it_works,,,page
