messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,name,category,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,location,button_name,city,search_text,parish,event_type
ajs-next-1768336428091-4f0ead1d-dfe8-443c-ac2d-32eee7c07839,,2026-01-13 20:33:48.091000+00:00,0ead1ddf-e884-4cec-ad32-eee7c07839a3,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,,business_profile,profile,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,,,,,,page
ajs-next-1768337731650-b0076b5b-2203-432c-89c1-cb73d640ad64,,2026-01-13 20:55:31.650000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,search,,,,button_click
ajs-next-1768337851948-9d3048a0-92f8-4155-af0b-24b0858b9a17,,2026-01-13 20:57:31.948000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,map_maker,,,,button_click
ajs-next-1768337731953-6b5b2203-132c-49c1-8b73-d640ad64f848,,2026-01-13 20:55:31.953000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,,,,,search
ajs-next-1768337734264-7a2a2cae-04c2-4cc0-8e92-38ea7f19453d,,2026-01-13 20:55:34.264000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"1758568877707x715638242996164100, 1747864432460x772931238395911000, 1744157592334x292550965261606100, 1759153763139x433792388290277000, 1766070455303x639821695383855700, 1757369121056x350487849823425600, 1749068120323x412920063824988600, 1746938798847x931997689495082400, 1748365021326x105262688542451250, 1744134674881x127285411168640110, 1745273541628x945470626229355500, 1753909381745x872991521395046100, 1744751205492x235134337285239230, 1751224250248x539537516841198200, 1744907031541x119079844893356540, 1754624056001x759184470890143000, 1746631267951x741803061642879500, 1754941249648x796792188496967000, 1757720364741x595714121363069200, 1755621956288x571897163769246900, 1747165674437x491901038958021200, 1751749348389x952656707958261400, 1749173974503x736079030141835600, 1744740154739x566945822952470660, 1744743906400x631087870982087000, 1753982403438x535213824960417500, 1753135741395x558904608479141570, 1764781838221x716772635359430500, 1744643921578x315333816253624100, 1763509156539x144450665564595840, 1746765568691x979794717919274100, 1751319669665x621437589169731200, 1754927931120x470668069008822300, 1747216018889x770977089491677400, 1752717497153x537286585580736960, 1762889659042x996969350831174300, 1750784475796x702583457937545900, 1744736810207x919925185055488400, 1746827109704x963221719337950200, 1757355028996x505189727810192200, 1753985929691x853149258569598100, 1761044854709x307607562836745150, 1751425811600x127124815802215140, 1753374338412x209529915103450200, 1748581534531x956271769254002200, 1765991015203x350068785849064760, 1744737250347x219277345743008400, 1747420152884x437771544876149700, 1744398484109x785674167096991400, 1747594874125x270237571814453630, 1761762460002x434978052003146300, 1744260813114x505427712482621440, 1747170561218x640297169073643000, 1743547621069x279645472884266780, 1764342295066x618134664283571500, 1744748222708x779656090283929300, 1754949567759x639105313824555300, 1744579851707x640487742075829500, 1763408145585x201322720695875870, 1762271200864x775090106640580500, 1746855895334x711816173120128000, 1747848709032x210920410073364830, 1763569204895x378265538177280400, 1761762406893x958878656538368500, 1745533127765x291393362647413700, 1746548006831x128230088489826860, 1749742920378x965836759111504900, 1757438153395x416809556103947500, 1750436264420x989591292213482400, 1760458225389x690604949380638100, 1747398900475x598159844147748100, 1750784029587x963255839088365200, 1744319857648x144922844539837200, 1759423986281x805514757919405700, 1744335958024x226211831616957250, 1747185390251x665604546429507900, 1748389292320x918627677903932400, 1750423781412x480534435350699700, 1760118921086x941497076227920600, 1746843461447x686795565273950000, 1762364811793x796217509980630800, 1751744301621x758526182685981300, 1758120880051x675194275556497400, 1753911193017x504194995643152640, 1765399408996x262641226191956400, 1764711530894x480989914892320700, 1758147388607x898014240790697700, 1755533063776x956164571796881400, 1750785338983x949958887494882000, 1758312173588x895819358343598700, 1755271286521x378031808974615550, 1745597587022x519433479989605000, 1750783674403x491887953737125700, 1747221865162x703532834449508000, 1747163465846x476237095610093000, 1764963280733x431041418968701760, 1754084205128x675147807630683600, 1763148950401x545361905340972600, 1763305551668x997299018011994600, 1763672237927x725969385673238800, 1766011883106x917993758751800300, 1749580724532x760028975589297300, 1759930025997x126109694575208930, 1754505203290x671062062407191900, 1743549178851x847080663521240200, 1754081360962x724252535884739300, 1744760380914x558772773612561600, 1749057953945x756346430245684600, 1768238584049x399775147114029200, 1752182630575x854371423894944000, 1744175271939x575064790204550460, 1761919898226x928695665795906700, 1747415704843x665338483592092500, 1751402056748x637551618886434600, 1747827548541x313848517899538500, 1744397288473x909294892772270800, 1746467711533x453074785848415400, 1752687366861x422755081931784260, 1764893879099x465248075524681500, 1747183179554x540122160625888100, 1761930377989x951815782791809400, 1744282156200x727555159743162000, 1750783679107x801419812763124500, 1763255155587x707008769292458900, 1765001972595x338020444395840100, 1746635677548x343522492232585660, 1747184079669x994211808429350800, 1757437593796x460281345015416640, 1753465897836x101289632151690960, 1762957766158x632118084948257900, 1745528732739x896561533370513300, 1744391553368x301043576290850300",false,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,,,,,impression
ajs-next-1768337812115-7f19453d-ca24-4c9d-8cd0-60fe9fc3f891,,2026-01-13 20:56:52.115000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,map_maker,,,,button_click
ajs-next-1768337814272-453dca24-cc9d-4cd0-a0fe-9fc3f891e597,,2026-01-13 20:56:54.272000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,1751744301621x758526182685981300,false,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,more_info_text_map,,,,button_click
ajs-next-1768337821436-5d42783a-0d96-4aef-8c48-92409d3048a0,,2026-01-13 20:57:01.436000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"1744335958024x226211831616957250, 1744282156200x727555159743162000, 1750423781412x480534435350699700, 1748365021326x105262688542451250, 1744175271939x575064790204550460, 1761044854709x307607562836745150, 1747398900475x598159844147748100, 1763569204895x378265538177280400, 1752182630575x854371423894944000, 1751224250248x539537516841198200, 1762364811793x796217509980630800, 1744579851707x640487742075829500, 1763148950401x545361905340972600, 1745597587022x519433479989605000, 1754624056001x759184470890143000, 1746765568691x979794717919274100, 1753135741395x558904608479141570, 1746635677548x343522492232585660, 1753911193017x504194995643152640, 1765991015203x350068785849064760, 1747185390251x665604546429507900, 1753465897836x101289632151690960, 1763255155587x707008769292458900, 1750783679107x801419812763124500, 1758120880051x675194275556497400, 1744398484109x785674167096991400, 1760118921086x941497076227920600, 1751744301621x758526182685981300, 1764781838221x716772635359430500, 1763408145585x201322720695875870, 1759423986281x805514757919405700, 1760458225389x690604949380638100, 1753374338412x209529915103450200, 1751749348389x952656707958261400, 1753985929691x853149258569598100, 1753909381745x872991521395046100, 1764893879099x465248075524681500, 1766011883106x917993758751800300, 1744737250347x219277345743008400, 1744134674881x127285411168640110, 1758147388607x898014240790697700, 1754927931120x470668069008822300, 1747163465846x476237095610093000, 1752717497153x537286585580736960, 1752687366861x422755081931784260, 1747221865162x703532834449508000, 1744643921578x315333816253624100, 1744748222708x779656090283929300, 1744397288473x909294892772270800, 1754941249648x796792188496967000, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1758312173588x895819358343598700, 1757438153395x416809556103947500, 1762271200864x775090106640580500, 1746855895334x711816173120128000, 1746548006831x128230088489826860, 1764342295066x618134664283571500, 1762957766158x632118084948257900, 1743547621069x279645472884266780, 1757369121056x350487849823425600, 1743549178851x847080663521240200, 1744157592334x292550965261606100, 1753982403438x535213824960417500, 1751402056748x637551618886434600, 1744740154739x566945822952470660, 1744751205492x235134337285239230, 1757720364741x595714121363069200, 1747165674437x491901038958021200, 1750436264420x989591292213482400, 1755533063776x956164571796881400, 1763305551668x997299018011994600, 1749068120323x412920063824988600, 1744319857648x144922844539837200, 1758568877707x715638242996164100, 1761919898226x928695665795906700, 1747827548541x313848517899538500, 1765001972595x338020444395840100, 1744760380914x558772773612561600, 1744743906400x631087870982087000, 1747594874125x270237571814453630, 1754084205128x675147807630683600, 1750784029587x963255839088365200, 1765399408996x262641226191956400, 1747420152884x437771544876149700, 1754081360962x724252535884739300, 1762889659042x996969350831174300, 1761762460002x434978052003146300, 1761930377989x951815782791809400, 1751319669665x621437589169731200, 1745273541628x945470626229355500, 1748581534531x956271769254002200, 1748389292320x918627677903932400, 1757355028996x505189727810192200, 1744736810207x919925185055488400, 1750785338983x949958887494882000, 1751425811600x127124815802215140, 1754505203290x671062062407191900, 1757437593796x460281345015416640, 1747864432460x772931238395911000, 1749173974503x736079030141835600, 1755271286521x378031808974615550, 1749057953945x756346430245684600, 1746827109704x963221719337950200, 1747183179554x540122160625888100, 1745533127765x291393362647413700, 1747415704843x665338483592092500, 1764711530894x480989914892320700, 1763509156539x144450665564595840, 1764963280733x431041418968701760, 1766070455303x639821695383855700, 1747216018889x770977089491677400, 1759930025997x126109694575208930, 1761762406893x958878656538368500, 1746631267951x741803061642879500, 1744260813114x505427712482621440, 1750784475796x702583457937545900, 1768238584049x399775147114029200, 1746467711533x453074785848415400, 1763672237927x725969385673238800, 1747170561218x640297169073643000, 1754949567759x639105313824555300, 1749580724532x760028975589297300, 1759153763139x433792388290277000, 1755621956288x571897163769246900, 1747184079669x994211808429350800, 1745528732739x896561533370513300, 1747848709032x210920410073364830, 1744907031541x119079844893356540, 1744391553368x301043576290850300, 1746938798847x931997689495082400, 1746843461447x686795565273950000",false,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,,,,,impression
ajs-next-1768337820790-a9e256c0-5d42-483a-8d96-faef8c489240,,2026-01-13 20:57:00.790000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,true,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,sidebar,,,,,impression
ajs-next-1768337797230-38ea7f19-453d-4a24-8c9d-8cd060fe9fc3,,2026-01-13 20:56:37.230000+00:00,32cf0951-f07d-4007-ab5b-2203132c49c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,,,,,,,,,map_maker,,,,button_click
