userId,anonymousId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,location,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,city,search_text,parish,input_num,input_name,traits,input_value,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,email,event_type
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 17:54:35.481000+00:00,ajs-next-1765389275481-96e67774-5e5f-4f8f-af20-0e66ae13f89a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Broomfield%2C%20Colorado&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Broomfield%2C%20Colorado&category=,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 18:03:07.910000+00:00,ajs-next-1765389787910-3b038108-5aad-4795-90fb-d8cd47d28ec7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,1753135741395x558904608479141570,false,,,,,,,,,,,more_info_text,,,,,,,,,,,,,,,,,,button_click
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 18:03:21.453000+00:00,ajs-next-1765389801453-cc7fe511-305b-4fdb-875f-26cd7c6da375,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,"1761919898226x928695665795906700, 1750784029587x963255839088365200, 1746827109704x963221719337950200, 1764963280733x431041418968701760, 1750785338983x949958887494882000, 1760458225389x690604949380638100, 1746635677548x343522492232585660, 1763672237927x725969385673238800, 1761762406893x958878656538368500, 1753982403438x535213824960417500, 1744134674881x127285411168640110, 1744391553368x301043576290850300, 1757369121056x350487849823425600, 1753135741395x558904608479141570, 1758312173588x895819358343598700",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 18:03:37.885000+00:00,ajs-next-1765389817885-e511305b-cfdb-475f-a6cd-7c6da375a844,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,1746635677548x343522492232585660,false,,,,,,,,,,,more_info_text,,,,,,,,,,,,,,,,,,button_click
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 17:53:50.887000+00:00,ajs-next-1765389230887-d1cc08ea-a31d-436d-938b-ffab5b0badb6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,,,,,,,,,,,,page
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 18:01:41.275000+00:00,ajs-next-1765389701275-421540f1-0d30-4eb5-9db6-836167c877ef,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,1753982403438x535213824960417500,true,main_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 17:54:34.830000+00:00,ajs-next-1765389274830-1fb1e24e-96e6-4774-9e5f-2f8f6f200e66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Broomfield%2C%20Colorado&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Broomfield%2C%20Colorado&category=,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,true,sidebar,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 17:54:54.702000+00:00,ajs-next-1765389294702-ea81618a-ad5b-4127-bbfa-e7e7839a8b08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,1753374338412x209529915103450200,,,profile,business_profile,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,,,,,,,,,,,,,,,,,,,page
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 17:56:31.215000+00:00,ajs-next-1765389391215-9fe1d4c9-aad3-42f2-b00c-bb452b580647,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,1743549178851x847080663521240200,true,main_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,cc08eaa3-1d53-4d53-8bff-ab5b0badb617,2025-12-10 18:01:39.043000+00:00,ajs-next-1765389699043-d23ff2b1-0995-4fe1-bc44-b617313bcd31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,search,,,,,,,,,,,,,,,,,,button_click
