userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,event_type
,2026-09-19 12:17:05.787000+00:00,118926c3-a5a9-48e0-ac60-54ea9ff955a3,ajs-next-1789820225787-b5118926-c3a5-4918-a0ac-6054ea9ff955,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789309775199x875530209680948500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789309775199x875530209680948500,[],False,,,,,about_us,about_us,/about_us/1789309775199x875530209680948500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789309775199x875530209680948500,about_us,about_us,,page
,2026-09-19 12:11:22.448000+00:00,4e3b07bc-18ea-48b5-834c-be6ebf54e15a,ajs-next-1789819882448-0f4e3b07-bc18-4ab8-b5c3-4cbe6ebf54e1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789330925557x268883719421463040,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789330925557x268883719421463040,[],False,,,,,about_us,about_us,/about_us/1789330925557x268883719421463040,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789330925557x268883719421463040,about_us,about_us,,page
,2026-09-19 12:50:17.415000+00:00,abebdf8f-f8fa-4fe4-a9ea-f11c68d72cea,ajs-next-1789822217415-45abebdf-8ff8-4a0f-a4a9-eaf11c68d72c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789321947746x925911037083930200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789321947746x925911037083930200,[],False,,,,,about_us,about_us,/about_us/1789321947746x925911037083930200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789321947746x925911037083930200,about_us,about_us,,page
,2026-09-19 13:46:49.046000+00:00,c5b0404f-7ce9-4d35-a59c-ae79331731cf,ajs-next-1789825609046-18c5b040-4f7c-495d-b5e5-9cae79331731,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789329553055x508186888285504500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789329553055x508186888285504500,[],False,,,,,how_it_works,how_it_works,/how_it_works/1789329553055x508186888285504500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789329553055x508186888285504500,how_it_works,how_it_works,,page
,2026-09-19 13:50:54.862000+00:00,31c3cabc-5ee6-4772-8eef-f62b2f293186,ajs-next-1789825854863-fb31c3ca-bc5e-4617-b24e-eff62b2f2931,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/business_profile/strawberries-catering--1789087344017x838590767181066400,,,Strawberries Catering | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/strawberries-catering--1789087344017x838590767181066400,[],False,,1789087344017x838590767181066400,,,profile,business_profile,/business_profile/strawberries-catering--1789087344017x838590767181066400,,,Strawberries Catering | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/strawberries-catering--1789087344017x838590767181066400,profile,business_profile,,page
,2026-09-19 15:32:49.187000+00:00,90c01143-75f8-432a-ac29-bdeef456daea,ajs-next-1789831969187-de90c011-4375-48c3-aa6c-29bdeef456da,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789362648349x878506620036421100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789362648349x878506620036421100,[],False,,,,,how_it_works,how_it_works,/how_it_works/1789362648349x878506620036421100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789362648349x878506620036421100,how_it_works,how_it_works,,page
,2026-09-19 17:40:37.493000+00:00,a316419d-bb34-41c8-a6b6-8c3d5ff9b69d,ajs-next-1789839637493-93a31641-9dbb-4461-8826-b68c3d5ff9b6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789324254993x116163443555098000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789324254993x116163443555098000,[],False,,,,,how_it_works,how_it_works,/how_it_works/1789324254993x116163443555098000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789324254993x116163443555098000,how_it_works,how_it_works,,page
,2026-09-19 18:35:44.795000+00:00,2a3968dc-b698-472a-940f-c98e5dc3c502,ajs-next-1789842944795-932a3968-dcb6-4837-aad4-0fc98e5dc3c5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789308719974x471181622533042940,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789308719974x471181622533042940,[],False,,,,,about_us,about_us,/about_us/1789308719974x471181622533042940,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789308719974x471181622533042940,about_us,about_us,,page
,2026-09-19 18:44:27.515000+00:00,b577d29f-1b04-4767-af07-15523a68ae7d,ajs-next-1789843467515-49b577d2-9f1b-4407-a7ef-0715523a68ae,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789315915640x450676926740824100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789315915640x450676926740824100,[],False,,,,,how_it_works,how_it_works,/how_it_works/1789315915640x450676926740824100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789315915640x450676926740824100,how_it_works,how_it_works,,page
,2026-09-19 18:43:21.382000+00:00,1e728370-f8af-47c7-81af-e6726be66b3c,ajs-next-1789843401382-261e7283-70f8-4f87-8701-afe6726be66b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789322215111x672998052881130400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789322215111x672998052881130400,[],False,,,,,how_it_works,how_it_works,/how_it_works/1789322215111x672998052881130400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789322215111x672998052881130400,how_it_works,how_it_works,,page
