name,userId,anonymousId,originalTimestamp,messageId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,button_name,business_id,sponsored_listing,traits,event_type
about_us,,4552ed1a-0127-43da-8bb4-4429d8e65b1e,2026-01-27 02:54:22.638000+00:00,ajs-next-1769482462638-784552ed-1a01-47c3-9acb-b44429d8e65b,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1769153771134x564058167595363100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769153771134x564058167595363100,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1769153771134x564058167595363100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1769153771134x564058167595363100,about_us,about_us,,,,,page
terms_of_service,,8cfb08cc-a6ff-4289-9804-cd9aba015b70,2026-01-27 03:11:51.380000+00:00,ajs-next-1769483511380-028cfb08-cca6-4ff2-8918-04cd9aba015b,terms,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/longbowman-services-llc-1765399408996x262641226191956400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/longbowman-services-llc-1765399408996x262641226191956400,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/terms_of_service/longbowman-services-llc-1765399408996x262641226191956400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/longbowman-services-llc-1765399408996x262641226191956400,terms,terms_of_service,,,,,page
how_it_works,,4621cc31-e4bf-4298-ac07-720e5a3fcd1f,2026-01-27 03:35:12.739000+00:00,ajs-next-1769484912740-b24621cc-31e4-4f72-982c-07720e5a3fcd,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/david-allred-shareholder-at-polsinelli-pc-1768427614253x929508274229176300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/david-allred-shareholder-at-polsinelli-pc-1768427614253x929508274229176300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/david-allred-shareholder-at-polsinelli-pc-1768427614253x929508274229176300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/david-allred-shareholder-at-polsinelli-pc-1768427614253x929508274229176300,how_it_works,how_it_works,,,,,page
,1744398484109x785674167096991400,05897839-e9e9-4983-86c5-6aa799f38784,2026-01-27 03:47:01.815000+00:00,ajs-next-1769485621815-9c1c3754-7589-4334-afd2-f33c7c5827bc,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/business_profile/matt-mansfield-realtor-with-remax-professionals,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield-realtor-with-remax-professionals,,,,,,,,,,,visit_website,1744398484109x785674167096991400,,,button_click
business_profile,1744398484109x785674167096991400,05897839-e9e9-4983-86c5-6aa799f38784,2026-01-27 03:46:33.254000+00:00,ajs-next-1769485593254-7aa99c1c-3754-4589-8334-efd2f33c7c58,profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/business_profile/matt-mansfield-realtor-with-remax-professionals,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield-realtor-with-remax-professionals,,,,/business_profile/matt-mansfield-realtor-with-remax-professionals,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield-realtor-with-remax-professionals,profile,business_profile,,1744398484109x785674167096991400,,,page
about_us,,5e9b92d5-fb05-442c-b1cc-23490485204c,2026-01-27 03:58:08.479000+00:00,ajs-next-1769486288479-2a5e9b92-d5fb-45d4-ac31-cc2349048520,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,about_us,about_us,,,,,page
business_profile,,7cf76556-c8f1-430a-ad94-cbb456a6532b,2026-01-27 05:22:33.998000+00:00,ajs-next-1769491353998-487ef167-da39-40df-9290-df5e88d8e6bf,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,profile,business_profile,,1744335958024x226211831616957250,,,page
business_profile,,7cf76556-c8f1-430a-ad94-cbb456a6532b,2026-01-27 05:22:27.152000+00:00,ajs-next-1769491347152-3b7cf765-56c8-41e3-8aed-94cbb456a653,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,,1752717497153x537286585580736960,,,page
business_profile,,7cf76556-c8f1-430a-ad94-cbb456a6532b,2026-01-27 05:22:37.999000+00:00,ajs-next-1769491357999-d27b9982-cfcc-4ec2-9309-99510158e02e,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,,1743549178851x847080663521240200,,,page
,,e734634d-d313-40f9-a4e7-feff9559fc08,2026-01-27 15:00:00.968000+00:00,ajs-next-1769526000968-634dd313-40f9-44e7-beff-9559fc08ad60,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,,,,,,,,,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1753982403438x535213824960417500",true,,impression
