anonymousId,category,messageId,userId,originalTimestamp,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,button_name,location,sponsored_listing,search_text,city,parish,event_type
53bba386-6df0-425f-8c23-b924f1afd35e,about_us,ajs-next-1773106776746-7253bba3-866d-4012-9fcc-23b924f1afd3,,2026-03-10 01:39:36.746000+00:00,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772768329399x329703677766189500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772768329399x329703677766189500,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/about_us/1772768329399x329703677766189500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772768329399x329703677766189500,about_us,about_us,,,,,,,,page
cd9bd7e2-6d3d-4bce-9532-8632ee61e14a,about_us,ajs-next-1773118110323-e3cd9bd7-e26d-4d6b-8e95-328632ee61e1,,2026-03-10 04:48:30.323000+00:00,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772791646921x819739435711148600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772791646921x819739435711148600,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/about_us/1772791646921x819739435711148600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772791646921x819739435711148600,about_us,about_us,,,,,,,,page
b872e776-9018-4b97-9556-8b55a1f4451f,start,ajs-next-1773119157384-ac61f6a0-f45f-4bac-8d52-81c9240c9a05,,2026-03-10 05:05:57.384000+00:00,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
b872e776-9018-4b97-9556-8b55a1f4451f,profile,ajs-next-1773119132407-8bb872e7-7690-48fb-9715-568b55a1f445,,2026-03-10 05:05:32.407000+00:00,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,1744579851707x640487742075829500,,,,,,,page
b872e776-9018-4b97-9556-8b55a1f4451f,profile,ajs-next-1773119136390-1582397f-4d9d-489b-9b59-eb3cd9e6f718,,2026-03-10 05:05:36.390000+00:00,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,1771436045389x658317953644361100,,,,,,,page
b872e776-9018-4b97-9556-8b55a1f4451f,profile,ajs-next-1773119143444-6f0602e1-ed63-4802-8b5b-9b615e0d9523,,2026-03-10 05:05:43.444000+00:00,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,profile,business_profile,1770943484557x164806709481949200,,,,,,,page
5eab4803-9abd-42e1-b074-734fd533062d,about_us,ajs-next-1773137826630-cc5eab48-039a-4d12-a1f0-74734fd53306,,2026-03-10 10:17:06.630000+00:00,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772770709510x867959756555152900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772770709510x867959756555152900,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/about_us/1772770709510x867959756555152900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772770709510x867959756555152900,about_us,about_us,,,,,,,,page
8e60e476-b905-49b5-b679-b353344cf46a,start,ajs-next-1773140309763-5d8e60e4-76b9-4579-b536-79b353344cf4,,2026-03-10 10:58:29.763000+00:00,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
1738e7e9-043b-4e81-a893-f19699bac399,how_it_works,ajs-next-1773140906838-3f1738e7-e904-4b4e-81a8-93f19699bac3,,2026-03-10 11:08:26.838000+00:00,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1772777652479x872629820940282800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772777652479x872629820940282800,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/how_it_works/1772777652479x872629820940282800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772777652479x872629820940282800,how_it_works,how_it_works,,,,,,,,page
415609ec-16d5-4712-bb3b-d861c2e45aa1,profile,ajs-next-1773149347924-29b612ec-b770-4ef9-9984-416ce9de18ea,,2026-03-10 13:29:07.924000+00:00,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,1744579851707x640487742075829500,,,,,,,page
415609ec-16d5-4712-bb3b-d861c2e45aa1,profile,ajs-next-1773149342909-2ffa9ae4-774a-4164-818c-e6635e5ab8d3,,2026-03-10 13:29:02.909000+00:00,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,profile,business_profile,1770943484557x164806709481949200,,,,,,,page
415609ec-16d5-4712-bb3b-d861c2e45aa1,profile,ajs-next-1773149337923-a3415609-ec16-4507-92bb-3bd861c2e45a,,2026-03-10 13:28:57.923000+00:00,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,1753374338412x209529915103450200,,,,,,,page
415609ec-16d5-4712-bb3b-d861c2e45aa1,start,ajs-next-1773149388893-bb6709f7-d522-46e4-afd9-d83703a79ff3,,2026-03-10 13:29:48.893000+00:00,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
cf52cb32-2e87-46c8-801e-20861a319c9a,start,ajs-next-1773154815509-52cf52cb-322e-47b6-88c0-1e20861a319c,,2026-03-10 15:00:15.509000+00:00,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
d0beade4-8f41-422f-bd89-e7851c811bcb,about_us,ajs-next-1773164524918-8e191f3e-d533-4d37-8121-43978e305371,,2026-03-10 17:42:04.918000+00:00,about_us,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/about_us/1773164507235x180121762154084040,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1773164507235x180121762154084040,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,/about_us/1773164507235x180121762154084040,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1773164507235x180121762154084040,about_us,about_us,,,,,,,,page
511e6424-3227-4e49-a9db-b6c77639789e,search,ajs-next-1773166871886-fe851444-c095-42a4-aecf-a113f7bc8794,,2026-03-10 18:21:11.886000+00:00,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,search,search,,,,,,,,page
511e6424-3227-4e49-a9db-b6c77639789e,,ajs-next-1773166963037-05ca5fde-1e2f-4367-8f8a-e49796ee064a,,2026-03-10 18:22:43.037000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,,,search,,,,,,button_click
