anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,city,search_text,location,parish,name,path,referrer,search,title,url,category_properties,name_properties,button_name,event_type
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830126286-7307e4e2-4046-463d-87e0-74029d181036,2026-01-07 23:55:26.286000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,,search,,,,,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,search,search,,page
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830056173-b8f0b4c7-9d16-49fd-be15-3758cfd508aa,2026-01-07 23:54:16.173000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,"1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,impression
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830005667-b08e1fc1-23df-45cc-8225-d71df1d35256,2026-01-07 23:53:25.667000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,true,,,,sidebar,,,,,,,,,,,impression
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830085064-0cd9141b-7c45-4db7-a808-71b664d2e12a,2026-01-07 23:54:45.064000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Salon&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Salon&category=Health%20%26%20Wellness,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,,Health & Wellness,,Salon,main_search,,,,,,,,,,,search
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830005993-1fc123df-a5cc-4225-971d-f1d352564bed,2026-01-07 23:53:25.992000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,1752717497153x537286585580736960,true,,,,main_list,,,,,,,,,,,impression
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830019286-a5ccc225-d71d-41d3-9256-4bed6973045c,2026-01-07 23:53:39.286000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Hair&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Hair&category=,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,1761762460002x434978052003146300,false,,,,,,,,,,,,,,profile_arrow,button_click
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830020793-16c0ccfc-4a73-4b0b-b232-5cfd7245b9eb,2026-01-07 23:53:40.793000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/business_profile/alderman-enterprises-1761762460002x434978052003146300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alderman-enterprises-1761762460002x434978052003146300,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,1761762460002x434978052003146300,,profile,,,,,business_profile,/business_profile/alderman-enterprises-1761762460002x434978052003146300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alderman-enterprises-1761762460002x434978052003146300,profile,business_profile,,page
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767830063524-737b8743-abfa-4f36-ad11-26850bd6e7a2,2026-01-07 23:54:23.524000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Salon&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Salon&category=,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,false,,,,,,,,,,,,,,,impression
627dab7b-db02-4950-aa67-1bd8a5d028af,,ajs-next-1767830258024-a29408c9-0e01-48f0-a23b-a6e58d853308,2026-01-07 23:57:38.024000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=garage&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=garage&category=,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,macOS,1750436264420x989591292213482400,true,,,,main_list,,,,,,,,,,,impression
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,,ajs-next-1767829992581-930db737-5d71-4f2c-b06b-fc7e6c39b684,2026-01-07 23:53:12.581000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,,index,,,,,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
