anonymousId,name,messageId,userId,category,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,button_name,event_type
ad7a9392-151b-46e3-8a0f-dfa0896ead75,about_us,ajs-next-1767920057218-66ad7a93-9215-4be6-a3ca-0fdfa0896ead,,about_us,2026-01-09 00:54:17.218000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,about_us,about_us,,,page
45d8146c-af58-48fc-b300-b4f64ce1edfd,how_it_works,ajs-next-1767921151026-1f45d814-6caf-48b8-bcf3-00b4f64ce1ed,,how_it_works,2026-01-09 01:12:31.026000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,how_it_works,how_it_works,,,page
b1775106-7537-4bea-a310-86be7ca29c5d,business_profile,ajs-next-1767926057049-0eb17751-0675-470b-aa63-1086be7ca29c,,profile,2026-01-09 02:34:17.049000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/longbowman-services-llc-1765399408996x262641226191956400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/longbowman-services-llc-1765399408996x262641226191956400,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/business_profile/longbowman-services-llc-1765399408996x262641226191956400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/longbowman-services-llc-1765399408996x262641226191956400,profile,business_profile,1765399408996x262641226191956400,,page
2ef06d19-965c-403d-aef6-ce49633cb19e,about_us,ajs-next-1767927252411-602ef06d-1996-4cb0-bd6e-f6ce49633cb1,,about_us,2026-01-09 02:54:12.411000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,about_us,about_us,,,page
3714e37c-7ed7-42e6-999b-a586f45c3691,about_us,ajs-next-1767949365327-633714e3-7c7e-4722-a6d9-9ba586f45c36,,about_us,2026-01-09 09:02:45.327000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1767431175900x601198987798704100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767431175900x601198987798704100,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1767431175900x601198987798704100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767431175900x601198987798704100,about_us,about_us,,,page
8693110a-c942-4baf-80df-ac72bb67fec2,about_us,ajs-next-1767952083014-52869311-0ac9-42fb-af00-dfac72bb67fe,,about_us,2026-01-09 09:48:03.014000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1767426995269x853908894619932300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767426995269x853908894619932300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1767426995269x853908894619932300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1767426995269x853908894619932300,about_us,about_us,,,page
46f74638-463c-41a3-8c17-6f80a7894575,business_profile,ajs-next-1767953478568-8a46f746-3846-4cf1-a34c-176f80a78945,,profile,2026-01-09 10:11:18.568000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,,,,/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,profile,business_profile,1748581534531x956271769254002200,,page
46f74638-463c-41a3-8c17-6f80a7894575,,ajs-next-1767953502149-4638463c-f1a3-4c17-af80-a78945759212,,,2026-01-09 10:11:42.149000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,,,,,,,,,,,1748581534531x956271769254002200,visit_website,button_click
962ad96f-71c0-4920-90e1-774f0848dafa,dashboard,ajs-next-1767971808301-84962ad9-6f71-4029-a0d0-e1774f0848da,,dashboard,2026-01-09 15:16:48.301000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,1767971813505x699057305907718900,,page
5ae49d73-f76b-40b1-845b-9f90466257ea,how_it_works,ajs-next-1768025567728-055ae49d-73f7-4b20-b144-5b9f90466257,,how_it_works,2026-01-10 06:12:47.728000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1767406407316x343517742607928100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1767406407316x343517742607928100,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1767406407316x343517742607928100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1767406407316x343517742607928100,how_it_works,how_it_works,,,page
