originalTimestamp,anonymousId,category,messageId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,sponsored_listing,button_name,search_text,city,parish,event_type
2026-03-17 23:21:00.964000+00:00,d788ba53-e3e0-4363-886f-1e5e7deff1f6,dashboard,ajs-next-1773789660964-2fd788ba-53e3-40a3-a3c8-6f1e5e7deff1,dashboard,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1773766853505x339858871398093700,dashboard,dashboard,,,,,,,,,,page
2026-03-18 00:15:04.391000+00:00,5809737a-e66f-4694-bb72-fb3a86f610d4,profile,ajs-next-1773792904391-f0580973-7ae6-4f66-94fb-72fb3a86f610,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,,page
2026-03-18 00:15:13.729000+00:00,5809737a-e66f-4694-bb72-fb3a86f610d4,profile,ajs-next-1773792913729-ca9c095f-858f-493e-81ac-390f07423c45,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,,page
2026-03-18 00:15:07.936000+00:00,5809737a-e66f-4694-bb72-fb3a86f610d4,profile,ajs-next-1773792907936-54499a2e-8392-4fab-bbd7-0238881b6b46,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,,page
2026-03-18 10:18:34.491000+00:00,6939380e-7d43-4d17-8b6f-ead1b267aa71,profile,ajs-next-1773829114491-d81c1f61-29ba-4841-bcfd-1f948953289e,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
2026-03-18 10:18:30.715000+00:00,6939380e-7d43-4d17-8b6f-ead1b267aa71,profile,ajs-next-1773829110715-86693938-0e7d-43fd-978b-6fead1b267aa,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,1744335958024x226211831616957250,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
2026-03-18 10:18:39.501000+00:00,6939380e-7d43-4d17-8b6f-ead1b267aa71,profile,ajs-next-1773829119502-4baee390-8f6d-48c6-ae3b-e9b679b03d34,business_profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,1750436264420x989591292213482400,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
2026-03-18 10:18:44.327000+00:00,6939380e-7d43-4d17-8b6f-ead1b267aa71,start,ajs-next-1773829124327-949fbf90-fbf4-485a-b3b0-e1d14a494174,start,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
2026-03-18 12:46:46.775000+00:00,21baf5e4-131a-4201-946f-813899bad42a,,ajs-next-1773838006775-6201946f-8138-49ba-942a-a77422d585a5,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,"[{'brand': 'HeadlessChrome', 'version': '117'}, {'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '117'}]",False,Linux,sidebar,true,,,,,impression
2026-03-18 12:46:47.190000+00:00,21baf5e4-131a-4201-946f-813899bad42a,,ajs-next-1773838007190-d42aa774-22d5-45a5-b215-0996aa90f669,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,"1757437593796x460281345015416640, 1768427614253x929508274229176300, 1770152894907x464897480736850900, 1744743906400x631087870982087000, 1757438153395x416809556103947500, 1746765568691x979794717919274100, 1771517879190x523242735258870900, 1763672237927x725969385673238800, 1771003581692x955050931630977700, 1761919898226x928695665795906700, 1754505203290x671062062407191900, 1744643921578x315333816253624100, 1771433486472x495156137805681660, 1753465897836x101289632151690960, 1759153763139x433792388290277000, 1772482882558x843076024552954900, 1750784029587x963255839088365200, 1751425811600x127124815802215140, 1748365021326x105262688542451250, 1763509156539x144450665564595840, 1747827548541x313848517899538500, 1747163465846x476237095610093000, 1759930025997x126109694575208930, 1750783674403x491887953737125700, 1747184079669x994211808429350800, 1745528732739x896561533370513300, 1759423986281x805514757919405700, 1768238584049x399775147114029200, 1753135741395x558904608479141570, 1754084205128x675147807630683600, 1768844277981x664142917381285000, 1744751205492x235134337285239230, 1758147388607x898014240790697700, 1749742920378x965836759111504900, 1747398900475x598159844147748100, 1752687366861x422755081931784260, 1771545376609x752763268373144000, 1766070455303x639821695383855700, 1762364811793x796217509980630800, 1744748222708x779656090283929300, 1771021914207x198452557005754900, 1751749348389x952656707958261400, 1764963280733x431041418968701760, 1746855895334x711816173120128000, 1746548006831x128230088489826860, 1746631267951x741803061642879500, 1751224250248x539537516841198200, 1768581853937x610498789092930300, 1753911193017x504194995643152640, 1768426055630x579798080961828200, 1747221865162x703532834449508000, 1770755356265x111382421474427680, 1760458225389x690604949380638100, 1752182630575x854371423894944000, 1750785338983x949958887494882000, 1746635677548x343522492232585660, 1744175271939x575064790204550460, 1755533063776x956164571796881400, 1751744301621x758526182685981300, 1754927931120x470668069008822300, 1745273541628x945470626229355500, 1764893879099x465248075524681500, 1772982809798x739419868972941400, 1757720364741x595714121363069200, 1769635123521x385801932800474700, 1747185390251x665604546429507900, 1743547621069x279645472884266780, 1760118921086x941497076227920600, 1753909381745x872991521395046100, 1765001972595x338020444395840100, 1762271200864x775090106640580500, 1752717497153x537286585580736960, 1762889659042x996969350831174300, 1748581534531x956271769254002200, 1758568877707x715638242996164100, 1746467711533x453074785848415400, 1751319669665x621437589169731200, 1750783679107x801419812763124500, 1763255155587x707008769292458900, 1747864432460x772931238395911000, 1744736810207x919925185055488400, 1758120880051x675194275556497400, 1754941249648x796792188496967000, 1753985929691x853149258569598100, 1747594874125x270237571814453630, 1765399408996x262641226191956400, 1761930377989x951815782791809400, 1766011883106x917993758751800300, 1770943484557x164806709481949200, 1757355028996x505189727810192200, 1744760380914x558772773612561600, 1744740154739x566945822952470660, 1751402056748x637551618886434600, 1747170561218x640297169073643000, 1749068120323x412920063824988600, 1744319857648x144922844539837200, 1750423781412x480534435350699700, 1744907031541x119079844893356540, 1754624056001x759184470890143000, 1750436264420x989591292213482400, 1744282156200x727555159743162000, 1762957766158x632118084948257900, 1769719058268x843927058977011000, 1754081360962x724252535884739300, 1761762406893x958878656538368500, 1744579851707x640487742075829500, 1746938798847x931997689495082400, 1754949567759x639105313824555300, 1771436045389x658317953644361100, 1755621956288x571897163769246900, 1744391553368x301043576290850300, 1746827109704x963221719337950200, 1764781838221x716772635359430500, 1765991015203x350068785849064760, 1746843461447x686795565273950000, 1745533127765x291393362647413700, 1747848709032x210920410073364830, 1763148950401x545361905340972600, 1761762460002x434978052003146300, 1747216018889x770977089491677400, 1753982403438x535213824960417500, 1763305551668x997299018011994600, 1757369121056x350487849823425600, 1747183179554x540122160625888100, 1749173974503x736079030141835600, 1744134674881x127285411168640110, 1744260813114x505427712482621440, 1750784475796x702583457937545900, 1744398484109x785674167096991400, 1744397288473x909294892772270800, 1761044854709x307607562836745150, 1745597587022x519433479989605000, 1771538218470x758525499484679000, 1763408145585x201322720695875870, 1749057953945x756346430245684600, 1743549178851x847080663521240200, 1749580724532x760028975589297300, 1747415704843x665338483592092500, 1763569204895x378265538177280400, 1747420152884x437771544876149700, 1747165674437x491901038958021200, 1753374338412x209529915103450200, 1768584016102x834619843946063900, 1764342295066x618134664283571500, 1744737250347x219277345743008400, 1744335958024x226211831616957250, 1764711530894x480989914892320700, 1755271286521x378031808974615550, 1748389292320x918627677903932400, 1744157592334x292550965261606100, 1758312173588x895819358343598700",,,"[{'brand': 'HeadlessChrome', 'version': '117'}, {'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '117'}]",False,Linux,,false,,,,,impression
