anonymousId,messageId,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,location,city,search_text,parish,event_type
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782008119712-84f48683-20f5-4010-a6b5-3a6dc6f8606c,,2026-06-21 02:15:19.712000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/business_profile/karavas--kranz-pc-1763569204895x378265538177280400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/karavas--kranz-pc-1763569204895x378265538177280400,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,1763569204895x378265538177280400,,profile,business_profile,/business_profile/karavas--kranz-pc-1763569204895x378265538177280400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/karavas--kranz-pc-1763569204895x378265538177280400,profile,business_profile,,,,,,page
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782007935974-19b8c574-be7e-4611-96e6-bc8f1e231b5b,,2026-06-21 02:12:15.974000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,1747398900475x598159844147748100,,profile,business_profile,/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,profile,business_profile,,,,,,page
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782008103754-cc875dcf-cbd9-43ad-ae5d-be2d3ff58468,,2026-06-21 02:15:03.754000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,,,,,,,,,,,,map_maker,,,,,button_click
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782010241329-670827df-9112-4dd3-b69e-ce1e48490a45,,2026-06-21 02:50:41.329000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/business_profile/mckay-law-llc-1744175271939x575064790204550460,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mckay-law-llc-1744175271939x575064790204550460,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,1744175271939x575064790204550460,,,,,,,,,,,visit_website,,,,,button_click
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782010500300-d64ed0a1-401e-439b-bf79-2395a86b19a8,,2026-06-21 02:55:00.300000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Law&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Law&category=,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,,,,,,,,,,,,,main_search,,Attorney ,,search
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782007842984-58cd7b77-278f-4752-9cda-1aaf304192af,,2026-06-21 02:10:42.984000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,,,Home Services,,,,,,,,,,,,Plumber,,search
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782010551495-be3d93bb-5948-47a2-bbd0-65b9b7a42fcc,,2026-06-21 02:55:51.495000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Law&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Law&category=,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,,true,,,,,,,,,,,sidebar,,,,impression
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782010551832-e7a2bbd0-65b9-47a4-afcc-89352423800c,,2026-06-21 02:55:51.832000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Law&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Law&category=,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,1771436045389x658317953644361100,true,,,,,,,,,,,main_list,,,,impression
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782007940322-c574be7e-8611-46e6-bc8f-1e231b5bd479,,2026-06-21 02:12:20.322000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,1747398900475x598159844147748100,,,,,,,,,,,visit_website,,,,,button_click
c10bfa9e-b7d5-4cd8-87ab-409813d2b97d,ajs-next-1782007951832-a0c7f05f-274d-4945-a77c-d2d779312e30,,2026-06-21 02:12:31.832000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Handyman&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Handyman&category=,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",True,Android,,true,,,,,,,,,,,sidebar,,,,impression
