anonymousId,category,messageId,name,originalTimestamp,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,search_text,event_type
e1d94e6f-2d96-4edc-ac1e-507aab1f3913,start,ajs-next-1774750739524-f0e1d94e-6f2d-461e-9c6c-1e507aab1f39,start,2026-03-29 02:18:59.524000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
997ceee1-7598-4430-9fbf-e29f54522683,about_us,ajs-next-1774766646505-fedfbff3-b1f2-4b6b-92c4-70279625c395,about_us,2026-03-29 06:44:06.505000+00:00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",/about_us/1774575983383x285984078788510400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774575983383x285984078788510400,"[{'brand': 'Chromium', 'version': '134'}, {'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '134'}]",True,Android,/about_us/1774575983383x285984078788510400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774575983383x285984078788510400,about_us,about_us,,,,,,page
a322b9c7-25d4-46ed-b36d-2f3aab8daf7d,profile,ajs-next-1774786303230-28352eb4-b90c-429f-a949-2c205c6e6d29,business_profile,2026-03-29 12:11:43.230000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,1744579851707x640487742075829500,,,,,page
a322b9c7-25d4-46ed-b36d-2f3aab8daf7d,profile,ajs-next-1774786297277-2ea65ff8-abd9-4097-8905-b01435db26a3,business_profile,2026-03-29 12:11:37.277000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,1752717497153x537286585580736960,,,,,page
a322b9c7-25d4-46ed-b36d-2f3aab8daf7d,profile,ajs-next-1774786307228-08e7f0a8-478f-45c9-b4d8-a0800042f99d,business_profile,2026-03-29 12:11:47.228000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,1771436045389x658317953644361100,,,,,page
a322b9c7-25d4-46ed-b36d-2f3aab8daf7d,start,ajs-next-1774786311573-aab90a03-7898-4be4-882e-a507964e081b,start,2026-03-29 12:11:51.573000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
a322b9c7-25d4-46ed-b36d-2f3aab8daf7d,index,ajs-next-1774786293234-e8a322b9-c725-4456-adb3-6d2f3aab8daf,index,2026-03-29 12:11:33.234000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
4bd682bd-934c-49d5-a2a7-26f76154b0a9,profile,ajs-next-1774796364723-b54bd682-bd93-4c49-95a2-a726f76154b0,business_profile,2026-03-29 14:59:24.723000+00:00,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-ink-1768426055630x579798080961828200,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/business_profile/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-ink-1768426055630x579798080961828200,profile,business_profile,1768426055630x579798080961828200,,,,,page
f288b7ca-1d66-4e4f-b416-b520ab26bb8e,profile,ajs-next-1774805387683-9cf288b7-ca1d-460e-8f74-16b520ab26bb,business_profile,2026-03-29 17:29:47.683000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,1743547621069x279645472884266780,,,,,page
f288b7ca-1d66-4e4f-b416-b520ab26bb8e,profile,ajs-next-1774805393563-f02e0367-e06c-48f6-b748-43dad1bd6546,business_profile,2026-03-29 17:29:53.563000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,page
