messageId,name,category,userId,anonymousId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,button_name,location,sponsored_listing,city,search_text,parish,event_type
ajs-next-1762725869414-02a89b43-0529-42b7-ad8a-9fecdd60392c,,Other,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:04:29.414000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,,,,,,search
ajs-next-1762727761856-528ba5ac-d36c-4cb0-a311-5429b277dcfe,,,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:36:01.856000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,"1753985929691x853149258569598100, 1760118921086x941497076227920600, 1750784475796x702583457937545900, 1758120880051x675194275556497400, 1751402056748x637551618886434600, 1758568877707x715638242996164100, 1747170561218x640297169073643000, 1746548006831x128230088489826860, 1744260813114x505427712482621440, 1750436264420x989591292213482400, 1755271286521x378031808974615550, 1745597587022x519433479989605000, 1761044854709x307607562836745150, 1757355028996x505189727810192200, 1744737250347x219277345743008400, 1754941249648x796792188496967000, 1747165674437x491901038958021200, 1746467711533x453074785848415400, 1757720364741x595714121363069200, 1748389292320x918627677903932400, 1748365021326x105262688542451250, 1746843461447x686795565273950000, 1762271200864x775090106640580500, 1745533127765x291393362647413700, 1744319857648x144922844539837200, 1754949567759x639105313824555300, 1747163465846x476237095610093000, 1749068120323x412920063824988600, 1752182630575x854371423894944000, 1744282156200x727555159743162000, 1751744301621x758526182685981300, 1744736810207x919925185055488400, 1762364811793x796217509980630800, 1758147388607x898014240790697700, 1748581534531x956271769254002200, 1747184079669x994211808429350800, 1752687366861x422755081931784260, 1753465897836x101289632151690960, 1747221865162x703532834449508000, 1750783679107x801419812763124500, 1749580724532x760028975589297300, 1750423781412x480534435350699700, 1744743906400x631087870982087000, 1744907031541x119079844893356540",,,,,false,,,,impression
ajs-next-1762725912306-29183379-6c1a-41a3-85dc-df1298b55fb9,,,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:05:12.306000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,1750423781412x480534435350699700,,,profile_arrow,,false,,,,button_click
ajs-next-1762726138504-c99af194-a844-4278-8613-25456989773b,,,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:08:58.504000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,sidebar,true,,,,impression
ajs-next-1762725874428-878ee19c-cf1e-4918-b379-6c1a01a345dc,,,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:04:34.428000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,sidebar,true,,,,impression
ajs-next-1762726201367-42e0eccd-28d8-40fd-87f6-6dfd636dadb0,business_profile,profile,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:10:01.367000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/perkins-law-group-pc-1744260813114x505427712482621440,1744260813114x505427712482621440,profile,business_profile,,,,,,,page
ajs-next-1762727500714-828dc498-71bb-4536-b2de-050307c2e6f2,search,search,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:31:40.714000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,search,search,,,,,,,page
ajs-next-1762727814073-cbe98062-7fd5-45a2-8cb5-f8b4adc8ef5c,business_profile,profile,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:36:54.073000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hedberg-law-firm-llc-1744282156200x727555159743162000,1744282156200x727555159743162000,profile,business_profile,,,,,,,page
ajs-next-1762725769630-11d81459-34f3-440f-b93e-09d0085dc10d,search,search,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:02:49.630000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Estate%20planning&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Estate%20planning&category=Finance,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/search,https://coloradocatholicbusinessdirectory.com/,?query=Estate%20planning&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Estate%20planning&category=Finance,,search,search,,,,,,,page
ajs-next-1762726175474-031b2dbb-8621-41bf-9c85-4beacf02c27b,,,,8707753e-ed3a-47a7-aa9f-135e29075492,2025-11-09 22:09:35.474000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,1750436264420x989591292213482400,,,,main_list,true,,,,impression
