anonymousId,originalTimestamp,userId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,location,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,city,search_text,parish,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:10:29.074000+00:00,,ajs-next-1779837029074-409745a4-d88d-4aa0-9aa1-efc2737280f9,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,main_list,true,,,,,,,,,,,,,,,,,impression
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:07:57.333000+00:00,,ajs-next-1779836877333-fd712b3a-4a9c-4720-a299-80bfc6b846bb,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,1744335958024x226211831616957250,main_list,true,,,,,,,,,,,,,,,,,impression
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:11:31.318000+00:00,,ajs-next-1779837091318-39e8d49e-c546-4b2f-a3b5-e2c020f969e8,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,search,search,/search,,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,search,search,,,,,,,,page
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:11:31.937000+00:00,,ajs-next-1779837091937-c5462b2f-e3b5-42c0-a0f9-69e873a0166f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,main_list,true,,,,,,,,,,,,,,,,,impression
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:11:04.668000+00:00,,ajs-next-1779837064668-9684ce19-de9f-4aff-b984-b377bf615bc3,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/business_profile/peak-health-center-1772482882558x843076024552954900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/peak-health-center-1772482882558x843076024552954900,1772482882558x843076024552954900,,,profile,business_profile,/business_profile/peak-health-center-1772482882558x843076024552954900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/peak-health-center-1772482882558x843076024552954900,profile,business_profile,,,,,,,,page
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:09:17.559000+00:00,,ajs-next-1779836957559-5436d4db-a075-4570-876e-87e328f8695f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,search,search,/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,page
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:09:18.165000+00:00,,ajs-next-1779836958165-a075d570-876e-47e3-a8f8-695f387dd513,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,1753374338412x209529915103450200,main_list,true,,,,,,,,,,,,,,,,,impression
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:09:21.693000+00:00,,ajs-next-1779836961693-387dd513-a57a-4ce0-a25e-5d1ab2bb6460,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,main_list,true,,,,,,,,,,,,,,,,,impression
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:11:31.624000+00:00,,ajs-next-1779837091624-d49ec546-2b2f-43b5-a2c0-20f969e873a0,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,sidebar,true,,,,,,,,,,,,,,,,,impression
fd35860f-922a-44e6-b632-5e554a7ce794,2026-05-26 23:08:09.194000+00:00,,ajs-next-1779836889194-4a9cb720-e299-40bf-86b8-46bb0ad19338,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,,search,,,,,,,button_click
