originalTimestamp,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,button_name,search_text,city,parish,event_type
2026-03-09 16:27:28.670000+00:00,,a492c0db-5224-4c5b-b0df-0c5e1dc3bac5,ajs-next-1773073648670-00d37fe0-92fb-49dd-962c-5cdab0d85f55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,1747398900475x598159844147748100,,,business_profile,profile,/business_profile/grants-handy-work-1747398900475x598159844147748100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,profile,business_profile,,,,,page
2026-03-09 16:28:59.311000+00:00,,a492c0db-5224-4c5b-b0df-0c5e1dc3bac5,ajs-next-1773073739311-0f059a32-6e02-4147-88ea-2299859fef4d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/restore-for-the-ages-1745533127765x291393362647413700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/restore-for-the-ages-1745533127765x291393362647413700,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,1745533127765x291393362647413700,,,business_profile,profile,/business_profile/restore-for-the-ages-1745533127765x291393362647413700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/restore-for-the-ages-1745533127765x291393362647413700,profile,business_profile,,,,,page
2026-03-09 16:27:44.982000+00:00,,a492c0db-5224-4c5b-b0df-0c5e1dc3bac5,ajs-next-1773073664982-dd9bca34-70c9-4e98-b478-c1f9db8bb2f9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,"1759930025997x126109694575208930, 1744751205492x235134337285239230, 1745273541628x945470626229355500, 1770943484557x164806709481949200, 1755533063776x956164571796881400, 1747216018889x770977089491677400, 1744398484109x785674167096991400, 1744748222708x779656090283929300, 1751319669665x621437589169731200, 1753911193017x504194995643152640, 1744579851707x640487742075829500, 1763255155587x707008769292458900, 1768581853937x610498789092930300, 1749742920378x965836759111504900, 1744335958024x226211831616957250, 1763408145585x201322720695875870, 1750783674403x491887953737125700, 1747864432460x772931238395911000, 1763148950401x545361905340972600, 1746855895334x711816173120128000, 1754927931120x470668069008822300, 1759153763139x433792388290277000, 1755621956288x571897163769246900, 1747398900475x598159844147748100, 1754505203290x671062062407191900, 1759423986281x805514757919405700",,false,,,,,,,,,,,,,,impression
2026-03-09 16:48:59.747000+00:00,,4614b6d1-80c2-442a-8925-6901b2f421da,ajs-next-1773074939747-9036aa8f-ff0a-4626-9999-d726de541806,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1753982403438x535213824960417500,,,business_profile,profile,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,profile,business_profile,,,,,page
2026-03-09 16:49:08.745000+00:00,,4614b6d1-80c2-442a-8925-6901b2f421da,ajs-next-1773074948745-1e3df0c5-8c6e-470b-a2dc-238b37700534,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
2026-03-09 16:48:53.810000+00:00,,4614b6d1-80c2-442a-8925-6901b2f421da,ajs-next-1773074933810-334614b6-d180-4214-aa89-256901b2f421,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1771436045389x658317953644361100,,,business_profile,profile,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,,,,,page
2026-03-09 17:12:33.601000+00:00,,0185b20b-b206-4fdc-a9c3-fa7c5f05c7e0,ajs-next-1773076353601-f00185b2-0bb2-469f-9ce9-c3fa7c5f05c7,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1772761664265x718219239153117400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772761664265x718219239153117400,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,how_it_works,how_it_works,/how_it_works/1772761664265x718219239153117400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772761664265x718219239153117400,how_it_works,how_it_works,,,,,page
2026-03-09 17:14:46.291000+00:00,,4e3ac5e1-b481-4cd3-ab46-4cad4a043644,ajs-next-1773076486291-ae4e3ac5-e1b4-41ec-932b-464cad4a0436,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1772770402294x812697370391796400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772770402294x812697370391796400,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,how_it_works,how_it_works,/how_it_works/1772770402294x812697370391796400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772770402294x812697370391796400,how_it_works,how_it_works,,,,,page
2026-03-09 18:11:52.388000+00:00,,653b6032-3cee-4dd8-b923-5508c3f0830a,ajs-next-1773079912388-89653b60-323c-4e9d-98b9-235508c3f083,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1772771798038x457194850345430140,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772771798038x457194850345430140,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,how_it_works,how_it_works,/how_it_works/1772771798038x457194850345430140,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772771798038x457194850345430140,how_it_works,how_it_works,,,,,page
2026-03-09 19:13:04.877000+00:00,,83b48071-583e-4733-9b14-36d80d27bb9b,ajs-next-1773083584877-4c794282-efdf-4a92-bdd6-a18a9ce9466f,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1750436264420x989591292213482400,,,business_profile,profile,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,,,,,page
