anonymousId,category,messageId,userId,originalTimestamp,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,button_name,business_id,location,sponsored_listing,city,search_text,parish,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,profile,ajs-next-1780167451999-d8b34349-e065-4d64-8d2d-a09d13c21fbb,,2026-05-30 18:57:31.999000+00:00,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/alloy-heating-and-cooling-1747216018889x770977089491677400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alloy-heating-and-cooling-1747216018889x770977089491677400,/business_profile/alloy-heating-and-cooling-1747216018889x770977089491677400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alloy-heating-and-cooling-1747216018889x770977089491677400,profile,business_profile,,1747216018889x770977089491677400,,,,,,,,,page
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,search,ajs-next-1780167457766-a725763d-89d7-43bf-acae-286f2fa7ca0c,,2026-05-30 18:57:37.766000+00:00,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,page
faf2f935-9e30-49db-baa7-70689632ffb5,,ajs-next-1780168554642-12cfbd99-c079-41cd-a3fc-0328962b3ce0,,2026-05-30 19:15:54.642000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=maid&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=maid&category=,,,,,,,,,1744335958024x226211831616957250,main_list,true,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167354786-bf94dd73-dd5e-45c7-81da-93e4fa60a7d1,,2026-05-30 18:55:54.786000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Cleaning&category=,,,,,,,,,"1754505203290x671062062407191900, 1757437593796x460281345015416640, 1755621956288x571897163769246900, 1754081360962x724252535884739300, 1744748222708x779656090283929300, 1776552489781x780158200693874000, 1754084205128x675147807630683600",,false,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167351463-cb375747-63d1-45ad-be61-3268f2dd89ae,,2026-05-30 18:55:51.463000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,search,,,,,,,,,,button_click
faf2f935-9e30-49db-baa7-70689632ffb5,,ajs-next-1780168516881-f9359e30-59db-4aa7-b068-9632ffb502ae,,2026-05-30 19:15:16.881000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1771436045389x658317953644361100, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1752717497153x537286585580736960",,true,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167354179-f3a98343-bf94-4d73-9d5e-05c741da93e4,,2026-05-30 18:55:54.179000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Cleaning&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Cleaning&category=,,,,,,,,,,sidebar,true,,,,,,,impression
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167383207-dea10680-d889-435c-92f6-7fbf731d73d3,,2026-05-30 18:56:23.207000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/garlos-mobile-detailing-1755621956288x571897163769246900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/garlos-mobile-detailing-1755621956288x571897163769246900,,,,,,,,visit_website,1755621956288x571897163769246900,,,,,,,,,button_click
faf2f935-9e30-49db-baa7-70689632ffb5,,ajs-next-1780168519750-baa77068-9632-4fb5-82ae-c7016e59f0a4,,2026-05-30 19:15:19.750000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,maid,,,,,search
6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,,ajs-next-1780167351772-574763d1-d5ad-4e61-b268-f2dd89aea8e5,,2026-05-30 18:55:51.772000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,Cleaning,,,,,search
