messageId,name,originalTimestamp,anonymousId,category,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,event_type
ajs-next-1774666888147-88fd507d-8664-462a-ab38-8eff436d4d7c,about_us,2026-03-28 03:01:28.147000+00:00,997ceee1-7598-4430-9fbf-e29f54522683,about_us,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",/about_us/1774575983383x285984078788510400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774575983383x285984078788510400,"[{'brand': 'Chromium', 'version': '134'}, {'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '134'}]",True,Android,/about_us/1774575983383x285984078788510400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1774575983383x285984078788510400,about_us,about_us,,,page
ajs-next-1774683215860-f6cabd35-bb2f-4c63-831d-a55c74d26be3,business_profile,2026-03-28 07:33:35.860000+00:00,cabd35bb-2f1c-4343-9da5-5c74d26be34f,profile,,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,[],False,,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,1743549178851x847080663521240200,,page
ajs-next-1774700993190-12f7c11d-2441-4e20-a642-5dd9a35641ec,business_profile,2026-03-28 12:29:53.190000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,profile,business_profile,1753982403438x535213824960417500,,page
ajs-next-1774701036113-eb299d42-7704-4f5a-9a3f-a9bd89853e4b,start,2026-03-28 12:30:36.113000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,start,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,page
ajs-next-1774700986508-6b886c3e-11d3-4e9f-a3e3-cc3371bf966a,,2026-03-28 12:29:46.508000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,,,,,,,,"1753982403438x535213824960417500, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,impression
ajs-next-1774700988788-f90ecb43-d9ed-4399-8f2a-e54fd31362e4,business_profile,2026-03-28 12:29:48.788000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,1743547621069x279645472884266780,,page
ajs-next-1774701000151-f720066b-6395-4356-a7b7-5092845c1c1a,business_profile,2026-03-28 12:30:00.151000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,1743549178851x847080663521240200,,page
ajs-next-1774700987419-6c3e11d3-6e9f-43e3-8c33-71bf966a7764,,2026-03-28 12:29:47.419000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,,,,,,,,"1753982403438x535213824960417500, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,impression
ajs-next-1774700986492-4749376b-886c-4e11-936e-9f23e3cc3371,index,2026-03-28 12:29:46.492000+00:00,49376b88-6c3e-41d3-ae9f-23e3cc3371bf,index,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
ajs-next-1774728165755-f83b46bb-0eae-4924-813e-4108195c5e6d,index,2026-03-28 20:02:45.755000+00:00,3b46bb0e-ae79-4441-be41-08195c5e6d91,index,,"Mozilla/5.0 (Linux; Android 12; SM-A5560 Build/V417IR; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.61 Mobile Safari/537.36 [FBAN/FB4A;FBAV/548.1.0.51.64;FBBV/882676626;FBDM/{density=1.5,width=720,height=1280};FBLC/en_US;FBRV/0;FB_FW/2;FBCR/;FBMF/Samsung;FBBD/Samsung;FBPN/com.facebook.katana;FBDV/SM-A5560;FBSV/12;FBOP/1;FBCA/arm64-v8a:x86_64;]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEejb_rpGUz2qtIhP0YPMwYCRNm0dorvRwSbvq_muoavTSw_8c0aF7zvW3W5Yg_aem_zMytCNq-mHE99hl5ogsELg,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEejb_rpGUz2qtIhP0YPMwYCRNm0dorvRwSbvq_muoavTSw_8c0aF7zvW3W5Yg_aem_zMytCNq-mHE99hl5ogsELg,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Linux,/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEejb_rpGUz2qtIhP0YPMwYCRNm0dorvRwSbvq_muoavTSw_8c0aF7zvW3W5Yg_aem_zMytCNq-mHE99hl5ogsELg,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEejb_rpGUz2qtIhP0YPMwYCRNm0dorvRwSbvq_muoavTSw_8c0aF7zvW3W5Yg_aem_zMytCNq-mHE99hl5ogsELg,index,index,,,page
