userId,anonymousId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,button_name,search_text,event_type
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390524472-62762ebe-13b8-4cae-96f9-42a960ae3297,2026-09-02 23:08:44.472000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,1760648653645x114408415368440820,main_list,true,,,,,,,,,,,,impression
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390522486-8d167b94-efa6-4276-aebe-13b8fcae96f9,2026-09-02 23:08:42.486000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,,,,search,search,/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,search,search,,,page
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390523592-efa66276-2ebe-43b8-bcae-96f942a960ae,2026-09-02 23:08:43.592000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,,sidebar,true,,,,,,,,,,,,impression
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390550507-9500c9cb-e5fd-47e1-a257-ab4ce23da32a,2026-09-02 23:09:10.507000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,1760648653645x114408415368440820,,true,,,,,,,,,,,,impression
,573a4513-f61e-4bb8-9996-879372efb1d0,ajs-next-1788391181439-9f573a45-13f6-4e1b-b8d9-96879372efb1,2026-09-02 23:19:41.439000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1788099930112x165740937242116580,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788099930112x165740937242116580,[],False,,,,,how_it_works,how_it_works,/how_it_works/1788099930112x165740937242116580,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788099930112x165740937242116580,how_it_works,how_it_works,,,page
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390523474-7b94efa6-6276-4ebe-93b8-fcae96f942a9,2026-09-02 23:08:43.474000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,,sidebar,true,,,,,,,,,,,,impression
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390525491-42a960ae-3297-4986-a6fe-69b0b3eb49a8,2026-09-02 23:08:45.491000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,"1748581534531x956271769254002200, 1750784475796x702583457937545900, 1747864432460x772931238395911000, 1744751205492x235134337285239230, 1750783674403x491887953737125700, 1749173974503x736079030141835600, 1744907031541x119079844893356540, 1747827548541x313848517899538500, 1748389292320x918627677903932400, 1747216018889x770977089491677400, 1746843461447x686795565273950000, 1747163465846x476237095610093000, 1760648653645x114408415368440820, 1745528732739x896561533370513300, 1745273541628x945470626229355500, 1743547621069x279645472884266780, 1744157592334x292550965261606100, 1746631267951x741803061642879500, 1744740154739x566945822952470660, 1750785338983x949958887494882000, 1744175271939x575064790204550460, 1747185390251x665604546429507900, 1744760380914x558772773612561600, 1744643921578x315333816253624100, 1745597587022x519433479989605000, 1746548006831x128230088489826860, 1747184079669x994211808429350800, 1749580724532x760028975589297300, 1744319857648x144922844539837200, 1749068120323x412920063824988600, 1744282156200x727555159743162000, 1747848709032x210920410073364830, 1750423781412x480534435350699700, 1751319669665x621437589169731200, 1744748222708x779656090283929300, 1744134674881x127285411168640110, 1744736810207x919925185055488400, 1744260813114x505427712482621440, 1747183179554x540122160625888100, 1750784029587x963255839088365200, 1747594874125x270237571814453630, 1744743906400x631087870982087000, 1743547361284x291138005899707260, 1747415704843x665338483592092500, 1743549178851x847080663521240200, 1751224250248x539537516841198200, 1746855895334x711816173120128000, 1746635677548x343522492232585660, 1749742920378x965836759111504900, 1744398484109x785674167096991400, 1747170561218x640297169073643000, 1753735107464x426800222977854460, 1747398900475x598159844147748100, 1776358721914x647553258259112000, 1746938798847x931997689495082400, 1748365021326x105262688542451250, 1750436264420x989591292213482400, 1744397288473x909294892772270800, 1746765568691x979794717919274100, 1744391553368x301043576290850300, 1745533127765x291393362647413700, 1747420152884x437771544876149700, 1747221865162x703532834449508000, 1744737250347x219277345743008400, 1750783679107x801419812763124500, 1746827109704x963221719337950200, 1747165674437x491901038958021200, 1744579851707x640487742075829500, 1749057953945x756346430245684600, 1753734185827x126792131019728200, 1746467711533x453074785848415400, 1744335958024x226211831616957250",,false,,,,,,,,,,,,impression
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390549339-734c9500-c9cb-45fd-b7e1-6257ab4ce23d,2026-09-02 23:09:09.339000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,,,,index,index,/version-test/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/,index,index,,,page
,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1788390525484-fcae96f9-42a9-40ae-b297-c98626fe69b0,2026-09-02 23:08:45.484000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,"1748581534531x956271769254002200, 1750784475796x702583457937545900, 1747864432460x772931238395911000, 1744751205492x235134337285239230, 1750783674403x491887953737125700, 1749173974503x736079030141835600, 1744907031541x119079844893356540, 1747827548541x313848517899538500, 1748389292320x918627677903932400, 1747216018889x770977089491677400, 1746843461447x686795565273950000, 1747163465846x476237095610093000, 1760648653645x114408415368440820, 1745528732739x896561533370513300, 1745273541628x945470626229355500, 1743547621069x279645472884266780, 1744157592334x292550965261606100, 1746631267951x741803061642879500, 1744740154739x566945822952470660, 1750785338983x949958887494882000, 1744175271939x575064790204550460, 1747185390251x665604546429507900, 1744760380914x558772773612561600, 1744643921578x315333816253624100, 1745597587022x519433479989605000, 1746548006831x128230088489826860, 1747184079669x994211808429350800, 1749580724532x760028975589297300, 1744319857648x144922844539837200, 1749068120323x412920063824988600, 1744282156200x727555159743162000, 1747848709032x210920410073364830, 1750423781412x480534435350699700, 1751319669665x621437589169731200, 1744748222708x779656090283929300, 1744134674881x127285411168640110, 1744736810207x919925185055488400, 1744260813114x505427712482621440, 1747183179554x540122160625888100, 1750784029587x963255839088365200, 1747594874125x270237571814453630, 1744743906400x631087870982087000, 1743547361284x291138005899707260, 1747415704843x665338483592092500, 1743549178851x847080663521240200, 1751224250248x539537516841198200, 1746855895334x711816173120128000, 1746635677548x343522492232585660, 1749742920378x965836759111504900, 1744398484109x785674167096991400, 1747170561218x640297169073643000, 1753735107464x426800222977854460, 1747398900475x598159844147748100, 1776358721914x647553258259112000, 1746938798847x931997689495082400, 1748365021326x105262688542451250, 1750436264420x989591292213482400, 1744397288473x909294892772270800, 1746765568691x979794717919274100, 1744391553368x301043576290850300, 1745533127765x291393362647413700, 1747420152884x437771544876149700, 1747221865162x703532834449508000, 1744737250347x219277345743008400, 1750783679107x801419812763124500, 1746827109704x963221719337950200, 1747165674437x491901038958021200, 1744579851707x640487742075829500, 1749057953945x756346430245684600, 1753734185827x126792131019728200, 1746467711533x453074785848415400, 1744335958024x226211831616957250",,false,,,,,,,,,,,,impression
,713803ce-b7e3-4175-8466-0eac6dbaed1f,ajs-next-1788393804840-d9713803-ceb7-4311-b584-660eac6dbaed,2026-09-03 00:03:24.840000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,,,,1762889659042x996969350831174300,,,business_profile,profile,/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,profile,business_profile,,,page
,0158dc73-430e-4be9-a645-729cf957986b,ajs-next-1788411294617-dc73430e-1be9-4645-b29c-f957986b0922,2026-09-03 04:54:54.617000+00:00,DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Linux,"1744643921578x315333816253624100, 1770943484557x164806709481949200, 1781830336957x808577548450478500, 1771436045389x658317953644361100",,true,,,,,,,,,,,,impression
,0158dc73-430e-4be9-a645-729cf957986b,ajs-next-1788411294518-f90158dc-7343-4e1b-a926-45729cf95798,2026-09-03 04:54:54.518000+00:00,DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Linux,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
,0158dc73-430e-4be9-a645-729cf957986b,ajs-next-1788411294978-430e1be9-2645-429c-b957-986b092230e0,2026-09-03 04:54:54.978000+00:00,DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Linux,"1744643921578x315333816253624100, 1770943484557x164806709481949200, 1781830336957x808577548450478500, 1771436045389x658317953644361100",,true,,,,,,,,,,,,impression
,985b6e1c-5b88-4e01-aa06-1d3454f21c2e,ajs-next-1788416507376-24985b6e-1c5b-48ae-816a-061d3454f21c,2026-09-03 06:21:47.376000+00:00,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,,,search,search,/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,search,search,,,page
,cb085706-7f31-423f-ac73-7c5c6434ec4f,ajs-next-1788438323243-7ccb0857-067f-4162-bfac-737c5c6434ec,2026-09-03 12:25:23.243000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1788221286755x741518512562986000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788221286755x741518512562986000,[],False,,,,,how_it_works,how_it_works,/how_it_works/1788221286755x741518512562986000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788221286755x741518512562986000,how_it_works,how_it_works,,,page
,5140c64a-7605-4825-a3ed-d24078b98191,ajs-next-1788442742360-c64a7605-7825-43ed-9240-78b98191700d,2026-09-03 13:39:02.360000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.7922.34 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Linux,"1770943484557x164806709481949200, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1771436045389x658317953644361100",,true,,,,,,,,,,,,impression
,5140c64a-7605-4825-a3ed-d24078b98191,ajs-next-1788442741797-795140c6-4a76-4578-a523-edd24078b981,2026-09-03 13:39:01.797000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.7922.34 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Linux,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
1788219546192x434403220948011970,b7061137-9568-4be7-acef-9d605ccc4b8b,ajs-next-1788464165337-97a602e3-9bfe-4b65-bcb6-f7c26549b221,2026-09-03 19:36:05.337000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
