anonymousId,userId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,location,search_text,city,parish,event_type
881cd272-e281-426c-9531-296e138372c1,,2026-03-23 04:35:11.532000+00:00,ajs-next-1774240511532-d272e281-526c-4531-a96e-138372c1bfa8,DuckAssistBot/1.2; (+http://duckduckgo.com/duckassistbot.html),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Linux,"1750436264420x989591292213482400, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1771436045389x658317953644361100",true,,,,,,,,,,,,,,,impression
881cd272-e281-426c-9531-296e138372c1,,2026-03-23 04:35:11.527000+00:00,ajs-next-1774240511527-f3881cd2-72e2-4152-ac95-31296e138372,DuckAssistBot/1.2; (+http://duckduckgo.com/duckassistbot.html),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Linux,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
0d14bb58-db4c-4164-9226-8587d06ad257,,2026-03-23 05:46:50.627000+00:00,ajs-next-1774244810627-bce94ccc-e95d-4f56-8668-b1edd2df0143,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,1743549178851x847080663521240200,,profile,business_profile,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,,,,,,page
0d14bb58-db4c-4164-9226-8587d06ad257,,2026-03-23 05:46:59.871000+00:00,ajs-next-1774244819871-04ff0678-d024-4e6c-b974-59401e10bf0d,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,1753374338412x209529915103450200,,profile,business_profile,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,,,,,,page
0d14bb58-db4c-4164-9226-8587d06ad257,,2026-03-23 05:46:55.639000+00:00,ajs-next-1774244815639-e2ef873b-bd1b-4470-a40c-72a18fff2e4d,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,1752717497153x537286585580736960,,profile,business_profile,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,,,,,,page
db14caf7-b9a6-4c81-8c08-f719f6704a4b,,2026-03-23 11:45:33.406000+00:00,ajs-next-1774266333406-291612dc-29a3-4c8d-93a4-6bfbdf6f6fa0,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1753374338412x209529915103450200,,profile,business_profile,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,,,,,,page
db14caf7-b9a6-4c81-8c08-f719f6704a4b,,2026-03-23 11:45:27.445000+00:00,ajs-next-1774266327445-badb14ca-f7b9-46cc-81cc-08f719f6704a,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1750436264420x989591292213482400,,profile,business_profile,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,,,,,,page
504e0f1d-c6d2-4efd-8a11-e6b695f52ff0,,2026-03-23 13:04:04.014000+00:00,ajs-next-1774271044014-0f1dc6d2-1efd-4a11-a6b6-95f52ff01cd6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,impression
504e0f1d-c6d2-4efd-8a11-e6b695f52ff0,,2026-03-23 13:04:04.305000+00:00,ajs-next-1774271044305-c6d21efd-4a11-46b6-95f5-2ff01cd6dbc0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,impression
504e0f1d-c6d2-4efd-8a11-e6b695f52ff0,,2026-03-23 13:04:03.984000+00:00,ajs-next-1774271043984-ac504e0f-1dc6-421e-bd4a-11e6b695f52f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
