anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,button_name,category,name,path,referrer,search,title,url,category_properties,name_properties,search_text,event_type
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511736855-00c3c5e9-2623-4978-988c-546e6af05f92,2026-07-20 01:42:16.855000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,,sidebar,true,,,,,,,,,,,,impression
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511807850-b978988c-546e-4af0-9f92-314b3d5ef281,2026-07-20 01:43:27.850000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,1744157592334x292550965261606100,,false,profile_arrow,,,,,,,,,,,button_click
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511639299-cd09a81b-4855-4b3f-a2d8-e2d5e29d890b,2026-07-20 01:40:39.299000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,page
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511626714-202b2f49-86ea-4763-85c7-85b83d5c2b61,2026-07-20 01:40:26.714000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1781830336957x808577548450478500, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753982403438x535213824960417500",,true,,,,,,,,,,,,impression
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511636630-86ea0763-85c7-45b8-bd5c-2b61d1f13b02,2026-07-20 01:40:36.630000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,,,,search,,,,,,,,,,,button_click
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511729315-966481ef-4510-46fb-a552-214e45053496,2026-07-20 01:42:09.315000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,page
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511736420-b69600c3-c5e9-4623-b978-988c546e6af0,2026-07-20 01:42:16.420000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,page
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511626840-2f4986ea-0763-45c7-85b8-3d5c2b61d1f1,2026-07-20 01:40:26.840000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1781830336957x808577548450478500, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753982403438x535213824960417500",,true,,,,,,,,,,,,impression
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511703295-94bbf177-59fc-4bad-a125-7078165623cd,2026-07-20 01:41:43.295000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/business_profile/elizabeth-animal-hospital-1763305551668x997299018011994600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/elizabeth-animal-hospital-1763305551668x997299018011994600,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,1763305551668x997299018011994600,,,,profile,business_profile,/business_profile/elizabeth-animal-hospital-1763305551668x997299018011994600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/elizabeth-animal-hospital-1763305551668x997299018011994600,profile,business_profile,,page
5a2f8a0a-14ab-4e19-86dc-49fe2a9c62fb,,ajs-next-1784511734114-0576ef40-90dd-47bb-aa6c-3a58219290e8,2026-07-20 01:42:14.114000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",True,Android,,,,,,,,,,,,,,,search
