anonymousId,category,originalTimestamp,messageId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,button_name,search_text,location,city,parish,traits,event_type
d93e808f-2bf5-4640-94cd-88fcd37ac85d,start,2026-08-14 02:40:09.900000+00:00,ajs-next-1786675209901-a5d93e80-8f2b-45b6-80d4-cd88fcd37ac8,start,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/start,,,Login,https://coloradocatholicbusinessdirectory.com/start,/start,,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,page
9f823dd6-1be2-4fe9-92c6-245fe208686f,,2026-08-14 12:24:13.378000+00:00,ajs-next-1786710253378-3dd61be2-8fe9-42c6-a45f-e208686f45c7,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.7339.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1744643921578x315333816253624100, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1781830336957x808577548450478500",true,,,,,,,impression
9f823dd6-1be2-4fe9-92c6-245fe208686f,,2026-08-14 12:24:13.808000+00:00,ajs-next-1786710253808-1be28fe9-52c6-445f-a208-686f45c74d16,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.7339.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1744643921578x315333816253624100, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1781830336957x808577548450478500",true,,,,,,,impression
9f823dd6-1be2-4fe9-92c6-245fe208686f,index,2026-08-14 12:24:13.356000+00:00,ajs-next-1786710253357-879f823d-d61b-428f-a952-c6245fe20868,index,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.7339.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,,,,,,,,page
f749c99b-b894-424b-9288-2f3721e3162c,how_it_works,2026-08-14 13:48:04.105000+00:00,ajs-next-1786715284106-81f749c9-9bb8-44b2-8bd2-882f3721e316,how_it_works,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1786568883495x447277314392804350,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1786568883495x447277314392804350,/how_it_works/1786568883495x447277314392804350,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1786568883495x447277314392804350,how_it_works,how_it_works,[],False,,,,,,,,,,page
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,profile,2026-08-14 14:42:08.099000+00:00,ajs-next-1786718528099-5b0110c8-6ae2-4d61-b4d4-274c490826c8,business_profile,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,profile,business_profile,,,,1763148950401x545361905340972600,,,,,,,,page
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:40:48.445000+00:00,ajs-next-1786718448445-b278a601-8f72-4df0-a60b-5e72a9da7a69,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1744643921578x315333816253624100, 1781830336957x808577548450478500",true,,,,,,,impression
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:41:59.767000+00:00,ajs-next-1786718519767-f0e26c75-ef0f-4fd9-86a2-1fcac95190b4,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,search,,,,,,button_click
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:42:01.946000+00:00,ajs-next-1786718521946-19a7cee4-f5df-404b-ae86-0a88cfe4f16f,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,"1747216018889x770977089491677400, 1776552489781x780158200693874000, 1759153763139x433792388290277000, 1763148950401x545361905340972600, 1755621956288x571897163769246900, 1770943484557x164806709481949200, 1763408145585x201322720695875870, 1744748222708x779656090283929300, 1755533063776x956164571796881400, 1745273541628x945470626229355500, 1777042863057x294476376362385400, 1785246262777x370343103907722500, 1775058462201x523059865418210800, 1749742920378x965836759111504900, 1744751205492x235134337285239230, 1747848709032x210920410073364830, 1747398900475x598159844147748100, 1747864432460x772931238395911000, 1768581853937x610498789092930300, 1759930025997x126109694575208930, 1751319669665x621437589169731200, 1746855895334x711816173120128000, 1744579851707x640487742075829500, 1754927931120x470668069008822300, 1754505203290x671062062407191900, 1744335958024x226211831616957250, 1759423986281x805514757919405700, 1744398484109x785674167096991400, 1753911193017x504194995643152640, 1763255155587x707008769292458900, 1750783674403x491887953737125700, 1750436264420x989591292213482400",false,,,,,,,impression
4d5ede67-15a5-4ef5-b2aa-22cda574ae3e,,2026-08-14 14:49:23.317000+00:00,ajs-next-1786718963317-fba6092f-bad0-44fb-b791-0a7eccbf995a,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,1785246262777x370343103907722500,false,more_info_text,,,,,,button_click
